regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Centro-Oeste;GO;2020-03-13;3;3;0;0
Centro-Oeste;GO;2020-03-14;0;3;0;0
Centro-Oeste;GO;2020-03-15;0;3;0;0
Centro-Oeste;GO;2020-03-16;0;3;0;0
Centro-Oeste;GO;2020-03-17;3;6;0;0
Centro-Oeste;GO;2020-03-18;2;8;0;0
Centro-Oeste;GO;2020-03-19;4;12;0;0
Centro-Oeste;GO;2020-03-20;3;15;0;0
Centro-Oeste;GO;2020-03-21;5;20;0;0
Centro-Oeste;GO;2020-03-22;1;21;0;0
Centro-Oeste;GO;2020-03-23;2;23;0;0
Centro-Oeste;GO;2020-03-24;4;27;0;0
Centro-Oeste;GO;2020-03-25;2;29;0;0
Centro-Oeste;GO;2020-03-26;10;39;1;1
Centro-Oeste;GO;2020-03-27;10;49;0;1
Centro-Oeste;GO;2020-03-28;7;56;0;1
Centro-Oeste;GO;2020-03-29;2;58;0;1
Centro-Oeste;GO;2020-03-30;3;61;0;1
Centro-Oeste;GO;2020-03-31;4;65;0;1
Centro-Oeste;GO;2020-04-01;6;71;0;1
Centro-Oeste;GO;2020-04-02;2;73;0;1
Centro-Oeste;GO;2020-04-03;15;88;1;2
Centro-Oeste;GO;2020-04-04;15;103;0;2
Centro-Oeste;GO;2020-04-05;12;115;1;3
Centro-Oeste;GO;2020-04-06;4;119;2;5
Centro-Oeste;GO;2020-04-07;14;133;0;5
Centro-Oeste;GO;2020-04-08;25;158;2;7
Centro-Oeste;GO;2020-04-09;21;179;0;7
Centro-Oeste;GO;2020-04-10;12;191;1;8
Centro-Oeste;GO;2020-04-11;18;209;2;10
Centro-Oeste;GO;2020-04-12;20;229;4;14
Centro-Oeste;GO;2020-04-13;4;233;1;15
Centro-Oeste;GO;2020-04-14;51;284;0;15
Centro-Oeste;GO;2020-04-15;20;304;0;15
Centro-Oeste;GO;2020-04-16;14;318;1;16
Centro-Oeste;GO;2020-04-17;17;335;0;16
Centro-Oeste;GO;2020-04-18;43;378;2;18
Centro-Oeste;GO;2020-04-19;15;393;0;18
Centro-Oeste;GO;2020-04-20;10;403;1;19
Centro-Oeste;GO;2020-04-21;18;421;0;19
Centro-Oeste;GO;2020-04-22;17;438;2;21
Centro-Oeste;GO;2020-04-23;15;453;2;23
Centro-Oeste;GO;2020-04-24;33;486;1;24
Centro-Oeste;GO;2020-04-25;20;506;1;25
Centro-Oeste;GO;2020-04-26;67;573;0;25
Centro-Oeste;GO;2020-04-27;43;616;1;26
Centro-Oeste;GO;2020-04-28;45;661;1;27
Centro-Oeste;GO;2020-04-29;44;705;0;27
Centro-Oeste;GO;2020-04-30;76;781;2;29
Centro-Oeste;GO;2020-05-01;27;808;0;29
Centro-Oeste;GO;2020-05-02;17;825;1;30
Centro-Oeste;GO;2020-05-03;25;850;0;30
Centro-Oeste;GO;2020-05-04;11;861;0;30
