regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;MA;2020-03-21;1;1;0;0
Nordeste;MA;2020-03-22;1;2;0;0
Nordeste;MA;2020-03-23;0;2;0;0
Nordeste;MA;2020-03-24;6;8;0;0
Nordeste;MA;2020-03-25;0;8;0;0
Nordeste;MA;2020-03-26;2;10;0;0
Nordeste;MA;2020-03-27;3;13;0;0
Nordeste;MA;2020-03-28;1;14;0;0
Nordeste;MA;2020-03-29;2;16;0;0
Nordeste;MA;2020-03-30;7;23;1;1
Nordeste;MA;2020-03-31;8;31;0;1
Nordeste;MA;2020-04-01;21;52;0;1
Nordeste;MA;2020-04-02;19;71;0;1
Nordeste;MA;2020-04-03;10;81;0;1
Nordeste;MA;2020-04-04;7;88;0;1
Nordeste;MA;2020-04-05;8;96;1;2
Nordeste;MA;2020-04-06;37;133;0;2
Nordeste;MA;2020-04-07;39;172;2;4
Nordeste;MA;2020-04-08;58;230;7;11
Nordeste;MA;2020-04-09;43;273;1;12
Nordeste;MA;2020-04-10;20;293;4;16
Nordeste;MA;2020-04-11;51;344;5;21
Nordeste;MA;2020-04-12;54;398;3;24
Nordeste;MA;2020-04-13;47;445;3;27
Nordeste;MA;2020-04-14;33;478;5;32
Nordeste;MA;2020-04-15;152;630;2;34
Nordeste;MA;2020-04-16;65;695;3;37
Nordeste;MA;2020-04-17;102;797;3;40
Nordeste;MA;2020-04-18;243;1040;4;44
Nordeste;MA;2020-04-19;165;1205;4;48
Nordeste;MA;2020-04-20;115;1320;6;54
Nordeste;MA;2020-04-21;76;1396;6;60
Nordeste;MA;2020-04-22;208;1604;6;66
Nordeste;MA;2020-04-23;153;1757;10;76
Nordeste;MA;2020-04-24;194;1951;12;88
Nordeste;MA;2020-04-25;154;2105;12;100
Nordeste;MA;2020-04-26;118;2223;12;112
Nordeste;MA;2020-04-27;187;2410;13;125
Nordeste;MA;2020-04-28;118;2528;20;145
Nordeste;MA;2020-04-29;276;2804;21;166
Nordeste;MA;2020-04-30;386;3190;18;184
Nordeste;MA;2020-05-01;316;3506;20;204
Nordeste;MA;2020-05-02;299;3805;20;224
Nordeste;MA;2020-05-03;235;4040;13;237
Nordeste;MA;2020-05-04;187;4227;12;249
