regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Centro-Oeste;MT;2020-03-20;1;1;0;0
Centro-Oeste;MT;2020-03-21;1;2;0;0
Centro-Oeste;MT;2020-03-22;0;2;0;0
Centro-Oeste;MT;2020-03-23;0;2;0;0
Centro-Oeste;MT;2020-03-24;5;7;0;0
Centro-Oeste;MT;2020-03-25;1;8;0;0
Centro-Oeste;MT;2020-03-26;3;11;0;0
Centro-Oeste;MT;2020-03-27;0;11;0;0
Centro-Oeste;MT;2020-03-28;2;13;0;0
Centro-Oeste;MT;2020-03-29;3;16;0;0
Centro-Oeste;MT;2020-03-30;2;18;0;0
Centro-Oeste;MT;2020-03-31;7;25;0;0
Centro-Oeste;MT;2020-04-01;2;27;0;0
Centro-Oeste;MT;2020-04-02;9;36;0;0
Centro-Oeste;MT;2020-04-03;8;44;1;1
Centro-Oeste;MT;2020-04-04;12;56;0;1
Centro-Oeste;MT;2020-04-05;4;60;0;1
Centro-Oeste;MT;2020-04-06;16;76;0;1
Centro-Oeste;MT;2020-04-07;2;78;0;1
Centro-Oeste;MT;2020-04-08;12;90;0;1
Centro-Oeste;MT;2020-04-09;18;108;1;2
Centro-Oeste;MT;2020-04-10;4;112;0;2
Centro-Oeste;MT;2020-04-11;9;121;1;3
Centro-Oeste;MT;2020-04-12;2;123;0;3
Centro-Oeste;MT;2020-04-13;11;134;1;4
Centro-Oeste;MT;2020-04-14;4;138;0;4
Centro-Oeste;MT;2020-04-15;13;151;0;4
Centro-Oeste;MT;2020-04-16;5;156;1;5
Centro-Oeste;MT;2020-04-17;6;162;0;5
Centro-Oeste;MT;2020-04-18;9;171;0;5
Centro-Oeste;MT;2020-04-19;3;174;0;5
Centro-Oeste;MT;2020-04-20;7;181;1;6
Centro-Oeste;MT;2020-04-21;0;181;0;6
Centro-Oeste;MT;2020-04-22;2;183;0;6
Centro-Oeste;MT;2020-04-23;38;221;1;7
Centro-Oeste;MT;2020-04-24;19;240;1;8
Centro-Oeste;MT;2020-04-25;7;247;1;9
Centro-Oeste;MT;2020-04-26;3;250;0;9
Centro-Oeste;MT;2020-04-27;7;257;1;10
Centro-Oeste;MT;2020-04-28;4;261;1;11
Centro-Oeste;MT;2020-04-29;31;292;0;11
Centro-Oeste;MT;2020-04-30;5;297;0;11
Centro-Oeste;MT;2020-05-01;23;320;0;11
Centro-Oeste;MT;2020-05-02;11;331;1;12
Centro-Oeste;MT;2020-05-03;6;337;0;12
Centro-Oeste;MT;2020-05-04;7;344;1;13
