;Cases;S;U;Q;I;uC;Rt;M;date
0;1.0000000000000102;16936552.879610535;8.361753887974439;1.4306624137702548;13.85012757110738;3.057711269362676;5.0;0.0;2020-03-08
1;1.251483809514425;16936547.61803915;11.631298678179766;1.7037394339737724;19.111698948406058;4.525177026738092;4.908424328506359;0.009436635497055083;2020-03-09
2;1.5583072233990594;16936540.553390566;15.946208938850795;2.121005258132972;26.17634752710417;6.550826106721344;4.819375098958049;0.020949824852592502;2020-03-10
3;1.946547015201451;16936531.202195536;21.555562094978978;2.7181055670492404;35.527542556969394;9.307327879739729;4.732794517983766;0.03551806846145879;2020-03-11
4;2.4486525812963467;16936518.994928088;28.74115175498449;3.538359594252304;47.73481000592444;13.006646075391302;4.6486260335784895;0.05435899192857542;2020-03-12
5;3.1047199989007175;16936503.272699583;37.8144890393412;4.633146264869208;63.4570385079752;17.904683204864067;4.566814309226904;0.07897715360419533;2020-03-13
6;3.963808502969779;16936483.286977954;49.111599278705015;6.062031842232052;83.44276013916482;24.305320515257982;4.487305198430392;0.11121344383800204;2020-03-14
7;5.085251854272099;16936458.202920843;62.985482901991745;7.8925661120826796;108.5268172498682;32.56351638152167;4.410045719762219;0.1532942925306861;2020-03-15
8;6.539905383921635;16936427.106780443;79.796254567667;10.199682090683723;139.6229576476725;43.08711560540014;4.334984032439867;0.20787846301988194;2020-03-16
9;8.41126071301243;16936389.017652366;99.8991367871516;13.06464911423683;177.71208572654484;56.33703911214398;4.26206941240404;0.27809888062926746;2020-03-17
10;10.796352881888986;16936342.903623626;123.63065475543706;16.57354877169213;223.82611446765588;72.82555805863768;4.191252228893768;0.3675966716323041;2020-03-18
11;13.806382274124106;16936287.702117924;151.29354483780747;20.81526950914448;279.02762017457223;93.11242355349619;4.122483921507447;0.4805445002213127;2020-03-19
12;17.566975053098854;16936222.343979634;183.14103144258002;25.879044519603028;344.3857584616169;117.79870744633499;4.055716977739732;0.6216563410851994;2020-03-20
13;22.218012519394534;16936145.780578904;219.36123929975756;31.85158952154912;420.94915919176566;147.5183178510644;3.9909049109844963;0.7961810762453894;2020-03-21
14;27.912971304290352;16936057.013005234;260.0625659445682;38.813926871473285;509.7167328623658;182.927268742034;3.928002238994207;1.0098777365893752;2020-03-22
15;34.817732666539655;16935955.122235205;305.26085095969825;46.83801092240646;611.607502891402;224.69090834275767;3.8669644627863127;1.2689708221264042;2020-03-23
16;43.108839565875556;16935839.299047623;354.86912802449007;55.98329198397689;727.4306904741538;273.46943089981136;3.807748045987406;1.5800849007115179;2020-03-24
17;52.971203836379836;16935708.87241453;408.6906414175775;66.29337190128045;857.8573235639935;329.90210640875574;3.750310394606118;1.9501585724108232;2020-03-25
18;64.59529132760663;16935563.335130874;466.41565235244735;77.79291083883561;1003.3946072164376;394.5907526975479;3.694609837225908;2.3863388452179968;2020-03-26
19;78.17383783908241;16935402.365548007;527.6223738229812;90.48494208337884;1164.3641900817743;468.0830363363319;3.640605605609051;2.8958579043416064;2020-03-27
20;93.89817427336789;16935225.84444986;591.7821477111165;104.34873959561776;1340.8852882335786;550.8562266534764;3.5882578157033627;3.485895217876533;2020-03-28
21;111.95426031118635;16935033.866333872;658.2687588546801;119.33836104460816;1532.8634042202125;643.3020240097378;3.5375274490433157;4.163428705107216;2020-03-29
22;132.5185437131676;16934826.74462096;726.3715596617006;135.38196046500005;1739.9851171304829;745.7130532906147;3.4883763345374277;4.93507936165381;2020-03-30
23;155.75377505076335;16934605.01060269;795.3118813979955;152.3819291737891;1961.7191354005358;858.2715497779878;3.44076713063392;5.806954212150198;2020-03-31
24;181.804913707777;16934369.406215355;864.2620487031816;170.2158854754929;2197.323522735626;981.0406748491744;3.3946633078568516;6.784492687744936;2020-04-01
25;210.79526123850542;16934120.871001676;932.3661943534606;188.73849352683024;2445.8587364123796;1113.958787293583;3.350029131705068;7.872321534892865;2020-04-02
26;242.8229522755954;16933860.523845408;998.7620063602355;207.7840555920708;2706.2058926777368;1256.8368784498348;3.3068296459064648;9.074123140781106;2020-04-03
