;Cases;S;U;Q;I;uC;Rt;M;date
0;1.0;36483051.36537412;5.910668263172006;0.9999362836298513;10.911818897250072;3.0012143504482154;4.978453382285295;0.0;2020-02-26
1;1.156258363360157;36483046.453712635;9.556983685906353;1.1343230529887318;15.823480376191963;3.975915273936721;4.807727502302558;0.007854789101336773;2020-02-27
2;1.342372747679201;36483038.87482414;15.114343072055036;1.4125461483118593;23.40236887971466;5.533106911668569;4.643534954008225;0.017210379458966096;2020-02-28
3;1.5839376888340324;36483027.42895104;23.399748291840464;1.896928546954954;34.8482419691466;7.967627441517147;4.485672540136084;0.02935335616911279;2020-02-29
4;1.9175369844960208;36483010.496239126;35.493136490224394;2.6749033343433397;51.780953878242634;11.69537706917888;4.333943034918568;0.04612271209625638;2020-03-01
5;2.3949472971210257;36482985.938108705;52.788035110972366;3.8658294917357896;76.33908430684784;17.290272407018648;4.188155012035838;0.07012115441853678;2020-03-02
6;3.0884140968664657;36482950.9917675;77.04071935200011;5.628654653625344;111.28542550841942;25.5276374059275;4.048122677236093;0.10498031551332303;2020-03-03
7;4.097108727137241;36482902.16230038;110.41400059214837;8.170186600451004;160.11489263389876;37.43359671416216;3.9136657057562143;0.155685336467408;2020-03-04
8;5.554832064237721;36482835.1179157;155.5113155562659;11.753620942518559;227.1592773059475;54.33950874292533;3.784609084405268;0.2289621143294029;2020-03-05
9;7.638969771591415;36482744.59476903;215.3966801576898;16.706864188143133;317.6824239736866;77.93990985626223;3.6607829581775233;0.333727464467333;2020-03-06
10;10.580629113203202;36482624.31821373;293.5963631462838;23.43010092566147;437.95897927379815;110.35188608864966;3.542022481265324;0.48159867749854096;2020-03-07
11;14.675800980345057;36482466.9472375;394.0788604647073;32.40199432556401;595.3299554983683;154.17329972775192;3.4281676723458965;0.6874546115965212;2020-03-08
12;20.2972985266629;36482264.04819317;521.2108822445795;44.183891065259296;798.2289998270724;212.53692799057072;3.319063274019805;0.9700358233185145;2020-03-09
13;27.907132773952235;36482006.10274146;679.6885182845771;59.421432320789904;1056.1744515388111;289.157368159492;3.214558616282189;1.3525666640570437;2020-03-10
14;38.0689020129163;36481682.55324038;874.4444321701941;78.84305575156775;1379.723952620272;388.36756268559407;3.114507483911409;1.8633780699370712;2020-03-11
15;51.45970540542288;36481281.8868109;1110.5336539713476;103.25500531740465;1780.3903821046792;515.1420174105043;3.018767987662956;2.5365064342933006;2020-03-12
16;68.88104705500271;36480791.75709835;1393.002184843553;133.53264009762242;2270.5200946589666;675.1042226627884;2.9272024391597085;3.412241733045799;2020-03-13
17;91.26818027600882;36480199.14052998;1726.7440225991793;170.60803893663726;2863.1366630194784;874.5164212076528;2.8396772293727524;4.537597242044879;2020-03-14
18;119.69735792349411;36479490.5218511;2116.353217053113;215.45411550580928;3571.755341902941;1120.2506514205247;2.7560627105899727;5.96667399636069;2020-03-15
19;155.39050242591142;36478652.10200385;2565.978121899612;269.06567708106934;4410.175189155716;1419.7408877491237;2.676233081772603;7.760895543298461;2020-03-16
20;199.71688781788896;36477670.02018754;3079.1850413295174;332.438055963022;5392.257005466072;1780.9170203556428;2.6000662772027283;9.989092494754155;2020-03-17
21;254.1915322192371;36476530.58122284;3658.83800991723;406.54410641368486;6531.695970169865;2212.1223216197136;2.5274438583275565;12.727421720414071;2020-03-18
22;320.4701246702457;36475220.479208715;4307.000535968309;492.31047385086777;7841.797984286403;2722.01684979698;2.458250908708936;16.059111330116373;2020-03-19
23;400.3404503574178;36473727.00885574;5024.863866473392;590.5941044500905;9335.268337265441;3319.4699159845413;2.3923759319892226;20.07402963744444;2020-03-20
24;495.71042111866706;36472038.25675329;5812.704828768991;702.1599648901191;11024.02043971658;4013.445224938803;2.329710752787145;24.86808347764532;2020-03-21
25;608.5929598227353;36470143.26609539;6669.874658240096;827.660887324633;12919.011097614897;4812.882592227433;2.270150420439795;30.542458376224495;2020-03-22
26;741.0881128915145;36468032.16988701;7594.818629024208;967.620350789479;15030.107306013204;5726.580213308001;2.213593115509237;37.202719381940085;2020-03-23
27;895.3628771723777;36465696.28934184;8585.124772439445;1122.4188622828156;17365.987851178652;6763.081339284012;2.1599400589746085;44.95779700483554;2020-03-24
28;1073.6293110502245;36463128.19584306;9637.598703132682;1292.2844262525346;19934.0813499515;7930.568909516059;2.1090954240327964;53.918886906503595;2020-03-25
29;1278.121558862132;36460321.736433655;10748.36055200649;1477.2874000169568;22740.54075936116;9236.771248475581;2.060966250432928;64.19829496428943;2020-03-26
30;1511.0724451813257;36457272.02426489;11912.959306221275;1677.3398299656358;25790.252928132883;10688.881346764647;2.0154623612724123;75.90826071370222;2020-03-27
31;1774.6902973009055;36453975.39659013;13126.499475685507;1892.1991829332994;29086.88060289389;12293.491646974177;1.9724962821838283;89.15979226196275;2020-03-28
32;2071.1366314924517;36450429.34382984;14383.774919564908;2121.476214004205;32632.933363178792;14056.545598117227;1.9319831628439157;104.06154462175176;2020-03-29
33;2402.5052824751097;36446632.41389471;15679.40490369422;2364.64656178877;36429.86329830472;15983.30655034662;1.8938407007387041;120.71877059220445;2020-03-30
34;2770.803495835495;36442584.09636648;17007.96780016152;2621.0655489410915;40478.1808265412;18078.343981603088;1.8579890671190804;139.23237031343763;2020-03-31
35;3177.935387803957;36438284.69088048;18364.128759575742;2889.985628571517;44777.58631254078;20345.536536589563;1.8243508350880682;159.69805982325042;2020-04-01
36;3625.6881729800184;36433735.164842;19742.7575993109;3170.5757600574343;49327.11235101154;22788.090818663186;1.7928509097505836;182.20567875298303;2020-04-02
37;4115.721331167464;36428937.004124835;21139.03503193699;3461.9421359178345;54125.27306817779;25408.574569155502;1.7634164603756544;206.8386457664199;2020-04-03
38;4649.558912842217;36423892.06087141;22548.545204029597;3763.149580251822;59170.21632160571;28208.962624482076;1.735976854507669;233.67357177135966;2020-04-04
39;5228.5850109287685;36418602.4016514;23967.3537111753;4073.2430346047977;64459.8755416169;31190.69378490803;1.7104635939731079;262.7800322950559;2020-04-05
40;5854.042387290317;36413070.15863924;25392.070817139025;4391.2685942323005;69992.11855377538;34354.736755113736;1.6868102527277598;294.2204984406782;2020-04-06
41;6527.03414153185;36407297.385978915;26819.90020420562;4716.293633987274;75764.89121409864;37701.66323437389;1.6649524164915923;328.0504207746387;2020-04-07
42;7248.528276448488;36401285.92273323;28248.674014539134;5047.425674031324;81776.35445978181;41231.72649476287;1.6448276241237831;364.3184588223649;2020-04-08
43;8019.364914845919;36395037.26386028;29676.875552512654;5383.82958458878;88025.01333274021;44944.94328079287;1.626375310674584;403.06684384313775;2020-04-09
44;8840.265951423722;36388552.438821;31103.650899328146;5724.743149600131;94509.83837201794;48841.17837166594;1.6095367520892034;444.33186401057344;2020-04-10
45;9711.8468531463;36381831.89868027;32528.81127744801;6069.490655707459;101230.37851274533;52920.22972644356;1.5942550114952077;488.14445759319244;2020-04-11
46;10634.630340004374;36374875.4109129;33952.82787498191;6417.49456296552;108186.8662801217;57181.91350216989;1.5804748870379146;534.5309006583865;2020-04-12
47;11609.06164288161;36367681.9613246;35376.82092746344;6768.285283219443;115380.31586841727;61626.14801485278;1.5681428612174102;583.513574054242;2020-04-13
48;12635.525056540313;36360249.66213641;36802.54481867421;7121.509162071944;122812.61505661171;66253.03601932524;1.5572070516843013;635.1117954943568;2020-04-14
49;13714.36157487193;36352575.66503452;38232.37088525332;7476.934765452793;130486.6121584963;71062.94493291825;1.5476171634526907;689.3427060459002;2020-04-15
50;14845.887318589916;36344656.07790801;39669.26949482474;7834.457693550055;138406.1992850087;76056.58477804402;1.5393244424893777;746.222196452135;2020-04-16
51;16030.412590583326;36336485.883792214;41116.792826260964;8194.104099146076;146576.3934007997;81235.08388480931;1.5322816306400464;805.7658650061612;2020-04-17
52;17268.26136403261;36328058.86054878;42579.0596987809;8556.033133395333;155003.41664423235;86600.0624480235;1.5264429218538196;867.9899971787353;2020-04-18
53;18559.791069399336;36319367.49959269;44060.74355328516;8920.538587559171;163694.77760032658;92153.70439008293;1.5217639196695518;932.9125602698699;2020-04-19
54;19905.412578810094;36310402.9220827;45567.064682498545;9288.049944060547;172659.35511030973;97898.82790494055;1.5182015959268245;1000.5542079830378;2020-04-20
55;21305.61031743841;36301154.79082175;47103.78759947054;9659.133105695444;181907.48637125155;103838.95534864716;1.5157142506679984;1070.939291383306;2020-04-21
56;22760.962475376655;36291611.21613731;48677.22438041244;10034.491034840563;191451.0610556883;109978.38316505864;1.5142614731975181;1144.0968749068963;2020-04-22
57;24272.161320172432;36281758.65401389;50294.24469477701;10414.96453561896;201303.6231791188;116322.25262855041;1.5138041042676686;1220.061757430946;2020-04-23
58;25840.033647757427;36271581.79461878;51962.29311968485;10801.533431114623;211480.48257422517;122876.62237566829;1.514304199322147;1298.875500299971;2020-04-24
59;27465.561457369542;36261063.43903143;53689.414720533285;11195.318327490386;221998.83816157753;129648.5436561843;1.5157249928469476;1380.5874666120199;2020-04-25
60;29149.902940771917;36250184.3623302;55484.28928633008;11597.583209476697;232877.9148628164;136646.1394262377;1.5180308637356927;1465.2558763038865;2020-04-26
61;30894.41392089846;36238923.16098479;57356.27484028216;12009.739060884836;244139.11620822657;143878.6883861611;1.5211873016378927;1552.948883828079;2020-04-27
62;32700.669940228312;36227256.081555;59315.46153410584;12433.348744161467;255806.19563801127;151356.71541951565;1.5251608743058502;1643.7456884903352;2020-04-28
63;34570.489069220625;36215156.8311241;61372.73515330201;12870.133147761779;267905.4460689158;159092.08869863136;1.5299191957743483;1737.7376809831012;2020-04-29
64;36505.95599867083;36202596.35822956;63539.85564696122;13321.979375157587;280465.918963448;167098.12794265838;1.5354308957502831;1835.0296544591245;2020-04-30
65;38509.447185957215;36189542.61398676;65829.54464785692;13790.950364545497;293519.6632062439;175389.72100788428;1.541665589526487;1935.7410685819602;2020-05-01
66;40583.657691134285;36175960.280181944;68255.58879471842;14279.296776017398;307101.99701106304;183983.45374919297;1.5485938489480495;2040.0073985216304;2020-05-02
67;42731.629922988715;36161810.46418343;70832.95812644223;14789.47112853291;321251.81300957996;192897.7538316161;1.5561871742057454;2147.9815799602043;2020-05-03
68;44956.78478699315;36147050.35477158;73577.94164304249;15324.144568673855;336011.92242142826;202153.05142271874;1.5644179664470639;2259.8355748358795;2020-05-04
69;47262.95532261969;36131632.836737834;76508.3010027239;15886.22645482657;351429.4404551705;211771.95767500036;1.5732595011577748;2375.762062222104;2020-05-05
70;49654.42356124304;36115506.0571044;79643.44499005542;16478.88706227884;367556.2200885981;221779.46447502077;1.5826859023195017;2495.9762910991567;2020-05-06
71;52135.96094928813;36098612.93796773;83004.62678036722;17105.583747184846;384449.3392252701;232203.1677484299;1.5926721173171459;2620.718112343307;2020-05-07
72;54712.87310328265;36080890.62617802;86615.16788809266;17770.091157937233;402171.65101498156;243073.51886566903;1.603193892561989;2750.254228471985;2020-05-08
73;57391.04898932618;36062269.8790259;90500.70919855166;18476.535500076694;420792.3981671006;254424.10447914607;1.614227749837315;2884.8806657953487;2020-05-09
74;60177.01585640957;36042674.369239055;94689.49579970012;19229.433817821497;440387.9079539465;266291.96248001535;1.6257509633119183;3024.92553580217;2020-05-10
75;63078.00018077286;36022019.90553808;99212.69719950043;20033.738532333806;461042.37165492063;278717.93574231357;1.6377415372283042;3170.752098708356;2020-05-11
76;66101.99567778125;36000213.555169284;104104.76855860671;20894.88800693354;482848.72202371946;291747.0697803979;1.6501781842329444;3322.762182275181;2020-05-12
77;69257.83927979931;35977152.65688688;109403.85764014591;21818.863808618906;505909.6203061219;305429.0595775578;1.6630403043349269;3481.400001062009;2020-05-13
78;72555.29614043483;35952723.71016883;115152.26338701282;22812.25551324082;530338.5670241696;319818.75198348117;1.6763079644732923;3647.15642941618;2020-05-14
79;76005.15472791763;35926801.12694267;121396.95174412371;23882.33385351495;556261.1502503229;334976.70992476656;1.6899618786778112;3820.5737816231494;2020-05-15
80;79619.33340179414;35899245.8275237;128190.13624876957;25037.133290566268;583816.4496692962;350969.84672816616;1.7039833888049827;4002.251169299459;2020-05-16
81;83411.00043218063;35869903.65523247;135589.9337799211;26285.545527846953;613158.6219605338;367872.142220585;1.7183544458237248;4192.850534515719;2020-05-17
82;87394.70797485884;35838603.60343353;143661.09763540645;27637.424393424328;644458.6737594729;385765.44375578326;1.7330575916582271;4393.103384451306;2020-05-18
83;91586.54294051166;35805155.81669571;152475.84368873402;29103.7043315115;677906.4604972885;404740.3695365314;1.7480759415464975;4603.818375283007;2020-05-19
84;96004.29628869507;35769349.3480001;162114.77615747994;30696.53362376556;713712.9291928983;424897.3231229577;1.7633931669144272;4825.889822247574;2020-05-20
85;100667.65346643954;35730949.63931391;172667.92530901698;32429.42429617505;752112.6378790899;446347.6348074584;1.7789934787460324;5060.3072726016435;2020-05-21
