;Estado;cases_7d
0;AC;540.1442434957195
1;AL;2043.7037572697477
2;AM;6394.259370060277
3;AP;1457.9940083066
4;BA;4590.394097731854
5;Brazil;121233.76100508426
6;CE;10143.255691739218
7;DF;1239.9659755588307
8;ES;3740.668192932792
9;GO;843.6736578956447
10;MA;4542.630713448792
11;MG;2167.45718155622
12;MS;316.7216754785187
13;MT;321.2635370393148
14;PA;5143.971093275759
15;PB;904.6721510574267
16;PE;10217.327193304722
17;PI;572.5389984821858
18;PR;1600.6890901153565
19;RJ;12421.535109177363
20;RN;1267.1182049383294
21;RO;959.4367137427727
22;RR;446.81581836798136
23;RS;1478.2181720305086
24;SC;1596.8064920164975
25;SE;381.99226877911576
26;SP;49654.423561243035
27;TO;138.46353345588275
