DateRep;Cases;cum-Cases;Deaths;cum-Deaths
2020-03-29;1.0;1.0;0.0;0.0
2020-03-30;0.0;1.0;0.0;0.0
2020-03-31;0.0;1.0;0.0;0.0
2020-04-01;1.0;2.0;0.0;0.0
2020-04-02;0.0;2.0;0.0;0.0
2020-04-03;0.0;2.0;0.0;0.0
2020-04-04;0.0;2.0;0.0;0.0
2020-04-05;0.0;2.0;0.0;0.0
2020-04-06;0.0;2.0;0.0;0.0
2020-04-07;1.0;3.0;1.0;1.0
2020-04-08;1.0;4.0;0.0;1.0
2020-04-09;0.0;4.0;0.0;1.0
2020-04-10;0.0;4.0;0.0;1.0
2020-04-11;2.0;6.0;0.0;1.0
2020-04-12;1.0;7.0;0.0;1.0
2020-04-13;5.0;12.0;2.0;3.0
2020-04-14;7.0;19.0;1.0;4.0
2020-04-15;8.0;27.0;0.0;4.0
2020-04-16;5.0;32.0;1.0;5.0
2020-04-17;6.0;38.0;0.0;5.0
2020-04-18;1.0;39.0;0.0;5.0
2020-04-19;4.0;43.0;1.0;6.0
2020-04-20;7.0;50.0;1.0;7.0
2020-04-21;2.0;52.0;0.0;7.0
2020-04-22;4.0;56.0;0.0;7.0
2020-04-23;4.0;60.0;1.0;8.0
2020-04-24;0.0;60.0;1.0;9.0
2020-04-25;3.0;63.0;0.0;9.0
2020-04-26;1.0;64.0;0.0;9.0
2020-04-27;8.0;72.0;1.0;10.0
2020-04-28;4.0;76.0;0.0;10.0
