;Estado;cases_7d
0;AC;1053.3873461760156
1;AL;3293.0438347645018
2;AM;10728.994749445315
3;AP;2544.9484617034755
4;BA;8955.143188476359
5;Brazil;177074.16256082067
6;CE;14818.126021273803
7;DF;2636.1202886721608
8;ES;6550.3400912289635
9;GO;1085.912965902073
10;MA;8743.054568517606
11;MG;3073.4556110147173
12;MS;437.66372460402
13;MT;511.1572921511215
14;PA;9250.338200716187
15;PB;1664.4498107463378
16;PE;16602.493172653452
17;PI;1039.5076777646734
18;PR;2736.478763260177
19;RJ;15744.352304526521
20;RN;2048.0829668910724
21;RO;1598.9134445590348
22;RR;1255.2401192030086
23;RS;2216.3348133130908
24;SC;3108.920099290262
25;SE;1070.0664662440442
26;SP;44729.9068529032
27;TO;556.774017187262
