DateRep;Cases;cum-Cases;Deaths;cum-Deaths
2020-03-05;2.0;2.0;0.0;0.0
2020-03-06;0.0;2.0;0.0;0.0
2020-03-07;1.0;3.0;0.0;0.0
2020-03-08;0.0;3.0;0.0;0.0
2020-03-09;0.0;3.0;0.0;0.0
2020-03-10;0.0;3.0;0.0;0.0
2020-03-11;0.0;3.0;0.0;0.0
2020-03-12;5.0;8.0;0.0;0.0
2020-03-13;5.0;13.0;0.0;0.0
2020-03-14;1.0;14.0;0.0;0.0
2020-03-15;6.0;20.0;0.0;0.0
2020-03-16;8.0;28.0;0.0;0.0
2020-03-17;3.0;31.0;0.0;0.0
2020-03-18;2.0;33.0;0.0;0.0
2020-03-19;1.0;34.0;0.0;0.0
2020-03-20;2.0;36.0;0.0;0.0
2020-03-21;0.0;36.0;0.0;0.0
2020-03-22;1.0;37.0;0.0;0.0
2020-03-23;4.0;41.0;0.0;0.0
2020-03-24;3.0;44.0;0.0;0.0
2020-03-25;3.0;47.0;2.0;2.0
2020-03-26;10.0;57.0;1.0;3.0
2020-03-27;18.0;75.0;1.0;4.0
2020-03-28;9.0;84.0;0.0;4.0
2020-03-29;13.0;97.0;0.0;4.0
2020-03-30;22.0;119.0;1.0;5.0
2020-03-31;23.0;142.0;3.0;8.0
2020-04-01;12.0;154.0;2.0;10.0
2020-04-02;25.0;179.0;2.0;12.0
2020-04-03;57.0;236.0;4.0;16.0
2020-04-04;36.0;272.0;5.0;21.0
2020-04-05;27.0;299.0;4.0;25.0
2020-04-06;95.0;394.0;3.0;28.0
2020-04-07;107.0;501.0;6.0;34.0
2020-04-08;127.0;628.0;3.0;37.0
2020-04-09;117.0;745.0;8.0;45.0
2020-04-10;97.0;842.0;10.0;55.0
2020-04-11;81.0;923.0;3.0;58.0
2020-04-12;65.0;988.0;9.0;67.0
2020-04-13;246.0;1234.0;9.0;76.0
2020-04-14;259.0;1493.0;11.0;87.0
2020-04-15;211.0;1704.0;12.0;99.0
2020-04-16;241.0;1945.0;6.0;105.0
2020-04-17;275.0;2220.0;10.0;115.0
2020-04-18;197.0;2417.0;13.0;128.0
2020-04-19;153.0;2570.0;12.0;140.0
2020-04-20;388.0;2958.0;9.0;149.0
2020-04-21;92.0;3050.0;12.0;161.0
2020-04-22;199.0;3249.0;18.0;179.0
2020-04-23;226.0;3475.0;17.0;196.0
2020-04-24;210.0;3685.0;16.0;212.0
2020-04-25;45.0;3730.0;16.0;228.0
2020-04-26;40.0;3770.0;14.0;242.0
2020-04-27;125.0;3895.0;16.0;258.0
2020-04-28;117.0;4012.0;4.0;262.0
2020-04-29;8.0;4020.0;4.0;266.0
