regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Norte;AP;2020-03-20;1;1;0;0
Norte;AP;2020-03-21;0;1;0;0
Norte;AP;2020-03-22;0;1;0;0
Norte;AP;2020-03-23;0;1;0;0
Norte;AP;2020-03-24;0;1;0;0
Norte;AP;2020-03-25;0;1;0;0
Norte;AP;2020-03-26;1;2;0;0
Norte;AP;2020-03-27;0;2;0;0
Norte;AP;2020-03-28;2;4;0;0
Norte;AP;2020-03-29;0;4;0;0
Norte;AP;2020-03-30;4;8;0;0
Norte;AP;2020-03-31;2;10;0;0
Norte;AP;2020-04-01;1;11;0;0
Norte;AP;2020-04-02;0;11;0;0
Norte;AP;2020-04-03;8;19;0;0
Norte;AP;2020-04-04;9;28;1;1
Norte;AP;2020-04-05;1;29;1;2
Norte;AP;2020-04-06;5;34;0;2
Norte;AP;2020-04-07;14;48;0;2
Norte;AP;2020-04-08;59;107;0;2
Norte;AP;2020-04-09;21;128;0;2
Norte;AP;2020-04-10;38;166;0;2
Norte;AP;2020-04-11;27;193;1;3
Norte;AP;2020-04-12;37;230;2;5
Norte;AP;2020-04-13;12;242;0;5
Norte;AP;2020-04-14;65;307;1;6
Norte;AP;2020-04-15;27;334;1;7
Norte;AP;2020-04-16;28;362;2;9
Norte;AP;2020-04-17;8;370;1;10
Norte;AP;2020-04-18;23;393;0;10
Norte;AP;2020-04-19;23;416;1;11
Norte;AP;2020-04-20;17;433;2;13
Norte;AP;2020-04-21;24;457;0;13
Norte;AP;2020-04-22;22;479;1;14
Norte;AP;2020-04-23;69;548;2;16
Norte;AP;2020-04-24;85;633;2;18
Norte;AP;2020-04-25;52;685;1;19
Norte;AP;2020-04-26;113;798;2;21
Norte;AP;2020-04-27;44;842;5;26
Norte;AP;2020-04-28;76;918;2;28
Norte;AP;2020-04-29;98;1016;3;31
Norte;AP;2020-04-30;64;1080;3;34
Norte;AP;2020-05-01;41;1121;3;37
Norte;AP;2020-05-02;66;1187;3;40
Norte;AP;2020-05-03;295;1482;3;43
Norte;AP;2020-05-04;251;1733;6;49
