regiao;estado;DateRep;Cases;cum-Cases;Deaths;cum-Deaths
Nordeste;PI;2020-03-20;3;3;0;0
Nordeste;PI;2020-03-21;1;4;0;0
Nordeste;PI;2020-03-22;0;4;0;0
Nordeste;PI;2020-03-23;2;6;0;0
Nordeste;PI;2020-03-24;0;6;0;0
Nordeste;PI;2020-03-25;2;8;0;0
Nordeste;PI;2020-03-26;1;9;0;0
Nordeste;PI;2020-03-27;0;9;0;0
Nordeste;PI;2020-03-28;2;11;1;1
Nordeste;PI;2020-03-29;3;14;0;1
Nordeste;PI;2020-03-30;2;16;2;3
Nordeste;PI;2020-03-31;2;18;1;4
Nordeste;PI;2020-04-01;0;18;0;4
Nordeste;PI;2020-04-02;1;19;0;4
Nordeste;PI;2020-04-03;2;21;0;4
Nordeste;PI;2020-04-04;1;22;0;4
Nordeste;PI;2020-04-05;1;23;0;4
Nordeste;PI;2020-04-06;0;23;0;4
Nordeste;PI;2020-04-07;5;28;0;4
Nordeste;PI;2020-04-08;3;31;1;5
Nordeste;PI;2020-04-09;7;38;1;6
Nordeste;PI;2020-04-10;2;40;1;7
Nordeste;PI;2020-04-11;1;41;0;7
Nordeste;PI;2020-04-12;3;44;0;7
Nordeste;PI;2020-04-13;6;50;1;8
Nordeste;PI;2020-04-14;8;58;0;8
Nordeste;PI;2020-04-15;17;75;0;8
Nordeste;PI;2020-04-16;16;91;0;8
Nordeste;PI;2020-04-17;11;102;0;8
Nordeste;PI;2020-04-18;21;123;1;9
Nordeste;PI;2020-04-19;22;145;1;10
Nordeste;PI;2020-04-20;13;158;2;12
Nordeste;PI;2020-04-21;28;186;2;14
Nordeste;PI;2020-04-22;20;206;1;15
Nordeste;PI;2020-04-23;11;217;0;15
Nordeste;PI;2020-04-24;39;256;1;16
Nordeste;PI;2020-04-25;41;297;1;17
Nordeste;PI;2020-04-26;34;331;1;18
Nordeste;PI;2020-04-27;33;364;2;20
Nordeste;PI;2020-04-28;44;408;1;21
Nordeste;PI;2020-04-29;46;454;3;24
Nordeste;PI;2020-04-30;59;513;0;24
Nordeste;PI;2020-05-01;87;600;0;24
Nordeste;PI;2020-05-02;65;665;2;26
Nordeste;PI;2020-05-03;77;742;2;28
Nordeste;PI;2020-05-04;42;784;0;28
