;Cases;S;U;Q;I;uC;Rt;M;date
0;5.000000000000017;7577651.02913859;30.723143850016793;6.1238431300796305;56.80468477024975;14.957697790153313;2.6106608013216284;0.0;2020-03-17
1;5.927245914693077;7577630.665619843;41.630795530681546;7.82844787210563;77.1682035185068;21.781714201026546;2.566517292282598;0.053062709496610135;2020-03-18
2;7.124358993413798;7577603.500696655;56.02817674338266;10.184923638652556;104.33312670702018;30.99566733157118;2.5218204689438375;0.12156887654915263;2020-03-19
3;8.690803466497957;7577567.53560025;74.87348570964461;13.383428111292218;140.2982231124363;43.350505825001505;2.476622926950717;0.21121045566071983;2020-03-20
4;10.754668253508626;7577520.291114888;99.3270273130335;17.662964714132233;187.54270847461126;59.798048193936914;2.430977999412555;0.3293174819609459;2020-03-21
5;13.479767796279656;7577458.730969623;130.77181072726057;23.31987121044141;249.10285373999483;81.53140400601319;2.3849396850821027;0.4852644245099145;2020-03-22
6;17.073894498450834;7577379.186482436;170.82818750561336;30.716466836577723;328.64734092764127;110.02879208699935;2.3385625756541666;0.6909424416025536;2020-03-23
7;21.798209609344724;7577277.287931344;221.35906831113226;40.2893109189458;430.5458920189144;147.0993031794916;2.2919017822802377;0.9612967848544094;2020-03-24
8;27.977673540299495;7577147.909595247;284.46176497461306;52.55633993445265;559.9242281149405;194.92844966557536;2.2450128613970866;1.3149236860002358;2020-03-25
9;36.01230567957659;7576985.136777181;362.4422220122138;68.12195824956608;722.6970461814153;256.12056024005886;2.197951739968162;1.774714712698603;2020-03-26
10;46.38892817648417;7576782.264160612;457.7674770503272;87.67898351335081;925.5696627503289;333.7342740101667;2.150774640237433;2.368528820029195;2020-03-27
11;59.692891581466085;7576531.835331293;572.992740519355;112.0062168067829;1175.998492069942;431.3066431623379;2.1035380040959692;3.1298633636769524;2020-03-28
12;76.61911057234978;7576225.732985995;710.6606141122169;141.96034964438104;1482.1008373682407;552.8607630392929;2.056298417162056;4.098485632006469;2020-03-29
13;97.98156800991023;7575855.328005928;873.1717424148442;178.46096984769216;1852.505817435216;702.8915371627693;2.009112532676034;5.320976726527173;2020-03-30
14;124.7202903345223;7575411.693027215;1062.6286190968958;222.467616505938;2296.1407961466643;886.3242702093081;1.9620369953112984;6.851130736956092;2020-03-31
