;Estado;max_cases;diamax;datamax;totaldeaths
0;AC;8.291049437650628;149;2020-08-15;339.70582471710367
1;AL;13.0899007615958;194;2020-09-18;1538.7441164010675
2;AM;727.3593687452358;143;2020-08-05;22406.062884625368
3;AP;3.92116130776612;45;2020-05-04;166.28874364806518
4;BA;1037.8589472599215;158;2020-08-11;31513.209139968712
5;Brazil;47185.807353343116;162;2020-08-06;1564708.9107798506
6;CE;992.2490975866385;146;2020-08-10;29593.078747270425
7;DF;27.429150629651758;150;2020-08-04;920.1582025528587
8;ES;18.923687336364083;160;2020-08-13;887.7769806597469
9;GO;736.2998266828527;169;2020-08-29;33750.53622841092
10;MA;4446.131906166302;155;2020-08-23;135212.14267123435
11;MG;1704.748066811262;156;2020-08-11;50265.24872557122
12;MS;46.421691938333765;153;2020-08-16;1505.8141841657682
13;MT;118.0135593164182;152;2020-08-19;3428.2040888050115
14;PA;2034.5397605385333;164;2020-08-30;65662.27746151395
15;PB;480.7940267496406;146;2020-08-12;14038.866862297085
16;PE;1291.2149591053167;142;2020-08-01;37473.213351017555
17;PI;304.03061920211985;175;2020-09-11;14484.797962567669
18;PR;767.5010652231249;166;2020-08-25;24941.660518842076
19;RJ;504.49925743556196;154;2020-08-06;17461.143414902475
20;RN;132.25436106880193;144;2020-08-04;3914.9233796174053
21;RO;179.51755637563883;159;2020-08-26;6493.056766473202
22;RR;2.8368907092208104;149;2020-08-18;153.43014912784918
23;RS;590.3593965747705;150;2020-08-07;17242.236183851754
24;SC;51.48977754252007;145;2020-08-05;1655.372382104351
25;SE;25.382969539705527;143;2020-08-05;813.9689266926448
26;SP;383.72736403788986;166;2020-08-10;17127.369113160275
27;TO;18.201268418753273;178;2020-09-13;819.8029073286976
