regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Norte;AM;2020-03-15;1;0;1;0
Norte;AM;2020-03-16;1;0;0;0
Norte;AM;2020-03-17;1;0;0;0
Norte;AM;2020-03-18;1;0;0;0
Norte;AM;2020-03-19;3;0;2;0
Norte;AM;2020-03-20;3;0;0;0
Norte;AM;2020-03-21;11;0;8;0
Norte;AM;2020-03-22;26;0;15;0
Norte;AM;2020-03-23;32;0;6;0
Norte;AM;2020-03-24;47;0;15;0
Norte;AM;2020-03-25;54;1;7;1
Norte;AM;2020-03-26;67;1;13;0
Norte;AM;2020-03-27;81;1;14;0
Norte;AM;2020-03-28;111;1;30;0
Norte;AM;2020-03-29;140;1;29;0
Norte;AM;2020-03-30;151;1;11;0
Norte;AM;2020-03-31;175;3;24;2
Norte;AM;2020-04-01;200;3;25;0
Norte;AM;2020-04-02;229;3;29;0
Norte;AM;2020-04-03;260;7;31;4
Norte;AM;2020-04-04;311;12;51;5
Norte;AM;2020-04-05;417;14;106;2
Norte;AM;2020-04-06;532;19;115;5
Norte;AM;2020-04-07;636;23;104;4
Norte;AM;2020-04-08;804;30;168;7
Norte;AM;2020-04-09;899;40;95;10
Norte;AM;2020-04-10;981;50;82;10
Norte;AM;2020-04-11;1050;53;69;3
Norte;AM;2020-04-12;1206;62;156;9
Norte;AM;2020-04-13;1275;71;69;9
Norte;AM;2020-04-14;1484;90;209;19
Norte;AM;2020-04-15;1554;106;70;16
Norte;AM;2020-04-16;1719;124;165;18
Norte;AM;2020-04-17;1809;145;90;21
Norte;AM;2020-04-18;1897;161;88;16
Norte;AM;2020-04-19;2044;182;147;21
Norte;AM;2020-04-20;2160;185;116;3
Norte;AM;2020-04-21;2270;193;110;8
Norte;AM;2020-04-22;2479;207;209;14
Norte;AM;2020-04-23;2888;234;409;27
Norte;AM;2020-04-24;3194;255;306;21
Norte;AM;2020-04-25;3635;287;441;32
Norte;AM;2020-04-26;3833;304;198;17
Norte;AM;2020-04-27;3928;320;95;16
Norte;AM;2020-04-28;4337;351;409;31
Norte;AM;2020-04-29;4801;380;464;29
Norte;AM;2020-04-30;5254;425;453;45
Norte;AM;2020-05-01;5723;476;469;51
Norte;AM;2020-05-02;6062;501;339;25
Norte;AM;2020-05-03;6683;548;621;47
Norte;AM;2020-05-04;7242;584;559;36
Norte;AM;2020-05-05;8109;649;867;65
Norte;AM;2020-05-06;9243;751;1134;102
Norte;AM;2020-05-07;10099;806;856;55
Norte;AM;2020-05-08;10727;874;628;68
Norte;AM;2020-05-09;11925;962;1198;88
Norte;AM;2020-05-10;12599;1004;674;42
Norte;AM;2020-05-11;12919;1035;320;31
Norte;AM;2020-05-12;14168;1098;1249;63
Norte;AM;2020-05-13;15816;1160;1648;62
Norte;AM;2020-05-14;17181;1235;1365;75
Norte;AM;2020-05-15;18392;1331;1211;96
Norte;AM;2020-05-16;19677;1375;1285;44
Norte;AM;2020-05-17;20328;1413;651;38
Norte;AM;2020-05-18;20913;1433;585;20
Norte;AM;2020-05-19;22132;1491;1219;58
Norte;AM;2020-05-20;23704;1561;1572;70
Norte;AM;2020-05-21;25367;1620;1663;59
Norte;AM;2020-05-22;27038;1669;1671;49
Norte;AM;2020-05-23;28802;1744;1764;75
Norte;AM;2020-05-24;29867;1758;1065;14
Norte;AM;2020-05-25;30282;1781;415;23
Norte;AM;2020-05-26;31949;1852;1667;71
Norte;AM;2020-05-27;33508;1891;1559;39
Norte;AM;2020-05-28;36146;1964;2638;73
Norte;AM;2020-05-29;38909;2011;2763;47
Norte;AM;2020-05-30;40560;2047;1651;36
Norte;AM;2020-05-31;41378;2052;818;5
Norte;AM;2020-06-01;41774;2071;396;19
