regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Brasil;-1;2020-02-26;1;0;1;0
Brasil;-1;2020-02-27;1;0;0;0
Brasil;-1;2020-02-28;1;0;0;0
Brasil;-1;2020-02-29;2;0;1;0
Brasil;-1;2020-03-01;2;0;0;0
Brasil;-1;2020-03-02;2;0;0;0
Brasil;-1;2020-03-03;2;0;0;0
Brasil;-1;2020-03-04;3;0;1;0
Brasil;-1;2020-03-05;7;0;4;0
Brasil;-1;2020-03-06;13;0;6;0
Brasil;-1;2020-03-07;19;0;6;0
Brasil;-1;2020-03-08;25;0;6;0
Brasil;-1;2020-03-09;25;0;0;0
Brasil;-1;2020-03-10;34;0;9;0
Brasil;-1;2020-03-11;52;0;18;0
Brasil;-1;2020-03-12;77;0;25;0
Brasil;-1;2020-03-13;98;0;21;0
Brasil;-1;2020-03-14;121;0;23;0
Brasil;-1;2020-03-15;200;0;79;0
Brasil;-1;2020-03-16;234;0;34;0
Brasil;-1;2020-03-17;291;1;57;1
Brasil;-1;2020-03-18;428;4;137;3
Brasil;-1;2020-03-19;621;6;193;2
Brasil;-1;2020-03-20;904;11;283;5
Brasil;-1;2020-03-21;1128;18;224;7
Brasil;-1;2020-03-22;1546;25;418;7
Brasil;-1;2020-03-23;1891;34;345;9
Brasil;-1;2020-03-24;2201;46;310;12
Brasil;-1;2020-03-25;2433;57;232;11
Brasil;-1;2020-03-26;2915;77;482;20
Brasil;-1;2020-03-27;3417;92;502;15
Brasil;-1;2020-03-28;3903;114;486;22
Brasil;-1;2020-03-29;4256;136;353;22
Brasil;-1;2020-03-30;4579;159;323;23
Brasil;-1;2020-03-31;5717;201;1138;42
Brasil;-1;2020-04-01;6834;241;1117;40
Brasil;-1;2020-04-02;7910;299;1076;58
Brasil;-1;2020-04-03;9056;359;1146;60
Brasil;-1;2020-04-04;10278;432;1222;73
Brasil;-1;2020-04-05;11130;486;852;54
Brasil;-1;2020-04-06;12056;553;926;67
Brasil;-1;2020-04-07;13717;667;1661;114
Brasil;-1;2020-04-08;15927;800;2210;133
Brasil;-1;2020-04-09;17857;941;1930;141
Brasil;-1;2020-04-10;19638;1056;1781;115
Brasil;-1;2020-04-11;20727;1124;1089;68
Brasil;-1;2020-04-12;22169;1223;1442;99
Brasil;-1;2020-04-13;23430;1328;1261;105
Brasil;-1;2020-04-14;25262;1532;1832;204
Brasil;-1;2020-04-15;28320;1736;3058;204
Brasil;-1;2020-04-16;30425;1924;2105;188
Brasil;-1;2020-04-17;33682;2141;3257;217
Brasil;-1;2020-04-18;36599;2347;2917;206
Brasil;-1;2020-04-19;38654;2462;2055;115
Brasil;-1;2020-04-20;40581;2575;1927;113
Brasil;-1;2020-04-21;43079;2741;2498;166
Brasil;-1;2020-04-22;45757;2906;2678;165
Brasil;-1;2020-04-23;49492;3313;3735;407
Brasil;-1;2020-04-24;52995;3670;3503;357
Brasil;-1;2020-04-25;58509;4016;5514;346
Brasil;-1;2020-04-26;61888;4205;3379;189
Brasil;-1;2020-04-27;66501;4543;4613;338
Brasil;-1;2020-04-28;71886;5017;5385;474
Brasil;-1;2020-04-29;78162;5466;6276;449
Brasil;-1;2020-04-30;85380;5901;7218;435
Brasil;-1;2020-05-01;91299;6329;5919;428
Brasil;-1;2020-05-02;96396;6724;5097;395
Brasil;-1;2020-05-03;101147;7025;4751;301
Brasil;-1;2020-05-04;107780;7321;6633;296
Brasil;-1;2020-05-05;114715;7921;6935;600
Brasil;-1;2020-05-06;125218;8535;10503;614
Brasil;-1;2020-05-07;135106;9146;9888;611
Brasil;-1;2020-05-08;145328;9895;10222;749
Brasil;-1;2020-05-09;155939;10627;10611;732
Brasil;-1;2020-05-10;162699;11123;6760;496
Brasil;-1;2020-05-11;168331;11519;5632;396
Brasil;-1;2020-05-12;177589;12400;9258;881
Brasil;-1;2020-05-13;188974;13149;11385;749
Brasil;-1;2020-05-14;202918;13993;13944;844
Brasil;-1;2020-05-15;218223;14817;15305;824
Brasil;-1;2020-05-16;233142;15633;14919;816
Brasil;-1;2020-05-17;241080;16118;7938;485
Brasil;-1;2020-05-18;254220;16792;13140;674
Brasil;-1;2020-05-19;271628;17971;17408;1179
Brasil;-1;2020-05-20;291579;18859;19951;888
Brasil;-1;2020-05-21;310087;20047;18508;1188
Brasil;-1;2020-05-22;330890;21046;20803;999
Brasil;-1;2020-05-23;347398;22013;16508;967
Brasil;-1;2020-05-24;363211;22666;15813;653
Brasil;-1;2020-05-25;374898;23473;11687;807
Brasil;-1;2020-05-26;391222;24512;16324;1039
Brasil;-1;2020-05-27;411821;25598;20599;1086
Brasil;-1;2020-05-28;438238;26754;26417;1156
Brasil;-1;2020-05-29;465166;27878;26928;1124
Brasil;-1;2020-05-30;498440;28834;33274;956
Brasil;-1;2020-05-31;514200;29314;15760;480
Brasil;-1;2020-06-01;526447;29937;12247;623
