regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Sudeste;ES;2020-03-06;1;0;1;0
Sudeste;ES;2020-03-07;1;0;0;0
Sudeste;ES;2020-03-08;1;0;0;0
Sudeste;ES;2020-03-09;1;0;0;0
Sudeste;ES;2020-03-10;1;0;0;0
Sudeste;ES;2020-03-11;1;0;0;0
Sudeste;ES;2020-03-12;1;0;0;0
Sudeste;ES;2020-03-13;1;0;0;0
Sudeste;ES;2020-03-14;1;0;0;0
Sudeste;ES;2020-03-15;1;0;0;0
Sudeste;ES;2020-03-16;1;0;0;0
Sudeste;ES;2020-03-17;1;0;0;0
Sudeste;ES;2020-03-18;9;0;8;0
Sudeste;ES;2020-03-19;11;0;2;0
Sudeste;ES;2020-03-20;13;0;2;0
Sudeste;ES;2020-03-21;26;0;13;0
Sudeste;ES;2020-03-22;26;0;0;0
Sudeste;ES;2020-03-23;29;0;3;0
Sudeste;ES;2020-03-24;33;0;4;0
Sudeste;ES;2020-03-25;39;0;6;0
Sudeste;ES;2020-03-26;39;0;0;0
Sudeste;ES;2020-03-27;47;0;8;0
Sudeste;ES;2020-03-28;53;0;6;0
Sudeste;ES;2020-03-29;60;0;7;0
Sudeste;ES;2020-03-30;72;0;12;0
Sudeste;ES;2020-03-31;84;0;12;0
Sudeste;ES;2020-04-01;96;0;12;0
Sudeste;ES;2020-04-02;120;1;24;1
Sudeste;ES;2020-04-03;139;4;19;3
Sudeste;ES;2020-04-04;153;5;14;1
Sudeste;ES;2020-04-05;166;6;13;1
Sudeste;ES;2020-04-06;194;6;28;0
Sudeste;ES;2020-04-07;209;6;15;0
Sudeste;ES;2020-04-08;227;6;18;0
Sudeste;ES;2020-04-09;273;6;46;0
Sudeste;ES;2020-04-10;300;7;27;1
Sudeste;ES;2020-04-11;349;9;49;2
Sudeste;ES;2020-04-12;383;9;34;0
Sudeste;ES;2020-04-13;430;14;47;5
Sudeste;ES;2020-04-14;463;17;33;3
Sudeste;ES;2020-04-15;557;18;94;1
Sudeste;ES;2020-04-16;754;22;197;4
Sudeste;ES;2020-04-17;856;25;102;3
Sudeste;ES;2020-04-18;952;28;96;3
Sudeste;ES;2020-04-19;1099;30;147;2
Sudeste;ES;2020-04-20;1168;33;69;3
Sudeste;ES;2020-04-21;1212;34;44;1
Sudeste;ES;2020-04-22;1313;34;101;0
Sudeste;ES;2020-04-23;1363;42;50;8
Sudeste;ES;2020-04-24;1381;42;18;0
Sudeste;ES;2020-04-25;1595;47;214;5
Sudeste;ES;2020-04-26;1703;51;108;4
Sudeste;ES;2020-04-27;1796;57;93;6
Sudeste;ES;2020-04-28;1874;64;78;7
Sudeste;ES;2020-04-29;2107;76;233;12
Sudeste;ES;2020-04-30;2465;83;358;7
Sudeste;ES;2020-05-01;2662;96;197;13
Sudeste;ES;2020-05-02;2948;102;286;6
Sudeste;ES;2020-05-03;3086;114;138;12
Sudeste;ES;2020-05-04;3226;122;140;8
Sudeste;ES;2020-05-05;3402;133;176;11
Sudeste;ES;2020-05-06;3568;145;166;12
Sudeste;ES;2020-05-07;3838;155;270;10
Sudeste;ES;2020-05-08;4242;165;404;10
Sudeste;ES;2020-05-09;4412;172;170;7
Sudeste;ES;2020-05-10;4599;181;187;9
Sudeste;ES;2020-05-11;4819;196;220;15
Sudeste;ES;2020-05-12;5087;212;268;16
Sudeste;ES;2020-05-13;5401;233;314;21
Sudeste;ES;2020-05-14;5813;249;412;16
Sudeste;ES;2020-05-15;6198;260;385;11
Sudeste;ES;2020-05-16;6595;271;397;11
Sudeste;ES;2020-05-17;6744;285;149;14
Sudeste;ES;2020-05-18;7157;302;413;17
Sudeste;ES;2020-05-19;7693;325;536;23
Sudeste;ES;2020-05-20;8092;341;399;16
Sudeste;ES;2020-05-21;8878;363;786;22
Sudeste;ES;2020-05-22;9520;397;642;34
Sudeste;ES;2020-05-23;9918;417;398;20
Sudeste;ES;2020-05-24;10007;446;89;29
Sudeste;ES;2020-05-25;10365;465;358;19
Sudeste;ES;2020-05-26;10889;487;524;22
Sudeste;ES;2020-05-27;11484;511;595;24
Sudeste;ES;2020-05-28;12203;538;719;27
Sudeste;ES;2020-05-29;12903;560;700;22
Sudeste;ES;2020-05-30;13437;583;534;23
Sudeste;ES;2020-05-31;13690;604;253;21
Sudeste;ES;2020-06-01;14069;614;379;10
