regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Centro-Oeste;GO;2020-03-13;3;0;3;0
Centro-Oeste;GO;2020-03-14;3;0;0;0
Centro-Oeste;GO;2020-03-15;3;0;0;0
Centro-Oeste;GO;2020-03-16;3;0;0;0
Centro-Oeste;GO;2020-03-17;6;0;3;0
Centro-Oeste;GO;2020-03-18;8;0;2;0
Centro-Oeste;GO;2020-03-19;12;0;4;0
Centro-Oeste;GO;2020-03-20;15;0;3;0
Centro-Oeste;GO;2020-03-21;20;0;5;0
Centro-Oeste;GO;2020-03-22;21;0;1;0
Centro-Oeste;GO;2020-03-23;23;0;2;0
Centro-Oeste;GO;2020-03-24;27;0;4;0
Centro-Oeste;GO;2020-03-25;29;0;2;0
Centro-Oeste;GO;2020-03-26;39;1;10;1
Centro-Oeste;GO;2020-03-27;49;1;10;0
Centro-Oeste;GO;2020-03-28;56;1;7;0
Centro-Oeste;GO;2020-03-29;58;1;2;0
Centro-Oeste;GO;2020-03-30;61;1;3;0
Centro-Oeste;GO;2020-03-31;65;1;4;0
Centro-Oeste;GO;2020-04-01;71;1;6;0
Centro-Oeste;GO;2020-04-02;73;1;2;0
Centro-Oeste;GO;2020-04-03;88;2;15;1
Centro-Oeste;GO;2020-04-04;103;2;15;0
Centro-Oeste;GO;2020-04-05;115;3;12;1
Centro-Oeste;GO;2020-04-06;119;5;4;2
Centro-Oeste;GO;2020-04-07;133;5;14;0
Centro-Oeste;GO;2020-04-08;158;7;25;2
Centro-Oeste;GO;2020-04-09;179;7;21;0
Centro-Oeste;GO;2020-04-10;191;8;12;1
Centro-Oeste;GO;2020-04-11;209;10;18;2
Centro-Oeste;GO;2020-04-12;229;14;20;4
Centro-Oeste;GO;2020-04-13;233;15;4;1
Centro-Oeste;GO;2020-04-14;284;15;51;0
Centro-Oeste;GO;2020-04-15;304;15;20;0
Centro-Oeste;GO;2020-04-16;318;16;14;1
Centro-Oeste;GO;2020-04-17;335;16;17;0
Centro-Oeste;GO;2020-04-18;378;18;43;2
Centro-Oeste;GO;2020-04-19;393;18;15;0
Centro-Oeste;GO;2020-04-20;403;19;10;1
Centro-Oeste;GO;2020-04-21;421;19;18;0
Centro-Oeste;GO;2020-04-22;438;21;17;2
Centro-Oeste;GO;2020-04-23;453;23;15;2
Centro-Oeste;GO;2020-04-24;486;24;33;1
Centro-Oeste;GO;2020-04-25;506;25;20;1
Centro-Oeste;GO;2020-04-26;573;25;67;0
Centro-Oeste;GO;2020-04-27;616;26;43;1
Centro-Oeste;GO;2020-04-28;661;27;45;1
Centro-Oeste;GO;2020-04-29;705;27;44;0
Centro-Oeste;GO;2020-04-30;781;29;76;2
Centro-Oeste;GO;2020-05-01;808;29;27;0
Centro-Oeste;GO;2020-05-02;825;30;17;1
Centro-Oeste;GO;2020-05-03;850;30;25;0
Centro-Oeste;GO;2020-05-04;861;30;11;0
Centro-Oeste;GO;2020-05-05;922;38;61;8
Centro-Oeste;GO;2020-05-06;1024;44;102;6
Centro-Oeste;GO;2020-05-07;1027;44;3;0
Centro-Oeste;GO;2020-05-08;1053;47;26;3
Centro-Oeste;GO;2020-05-09;1069;47;16;0
Centro-Oeste;GO;2020-05-10;1093;47;24;0
Centro-Oeste;GO;2020-05-11;1100;49;7;2
Centro-Oeste;GO;2020-05-12;1115;52;15;3
Centro-Oeste;GO;2020-05-13;1134;61;19;9
Centro-Oeste;GO;2020-05-14;1423;64;289;3
Centro-Oeste;GO;2020-05-15;1572;67;149;3
Centro-Oeste;GO;2020-05-16;1640;69;68;2
Centro-Oeste;GO;2020-05-17;1692;70;52;1
Centro-Oeste;GO;2020-05-18;1749;73;57;3
Centro-Oeste;GO;2020-05-19;1846;73;97;0
Centro-Oeste;GO;2020-05-20;1978;78;132;5
Centro-Oeste;GO;2020-05-21;2114;85;136;7
Centro-Oeste;GO;2020-05-22;2304;93;190;8
Centro-Oeste;GO;2020-05-23;2377;95;73;2
Centro-Oeste;GO;2020-05-24;2443;95;66;0
Centro-Oeste;GO;2020-05-25;2512;96;69;1
Centro-Oeste;GO;2020-05-26;2671;104;159;8
Centro-Oeste;GO;2020-05-27;2843;108;172;4
Centro-Oeste;GO;2020-05-28;3090;115;247;7
Centro-Oeste;GO;2020-05-29;3319;119;229;4
Centro-Oeste;GO;2020-05-30;3585;122;266;3
Centro-Oeste;GO;2020-05-31;3702;124;117;2
Centro-Oeste;GO;2020-06-01;3906;127;204;3
