regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Centro-Oeste;MS;2020-03-16;2;0;2;0
Centro-Oeste;MS;2020-03-17;4;0;2;0
Centro-Oeste;MS;2020-03-18;7;0;3;0
Centro-Oeste;MS;2020-03-19;7;0;0;0
Centro-Oeste;MS;2020-03-20;9;0;2;0
Centro-Oeste;MS;2020-03-21;16;0;7;0
Centro-Oeste;MS;2020-03-22;21;0;5;0
Centro-Oeste;MS;2020-03-23;21;0;0;0
Centro-Oeste;MS;2020-03-24;23;0;2;0
Centro-Oeste;MS;2020-03-25;24;0;1;0
Centro-Oeste;MS;2020-03-26;25;0;1;0
Centro-Oeste;MS;2020-03-27;28;0;3;0
Centro-Oeste;MS;2020-03-28;31;0;3;0
Centro-Oeste;MS;2020-03-29;36;0;5;0
Centro-Oeste;MS;2020-03-30;44;0;8;0
Centro-Oeste;MS;2020-03-31;48;1;4;1
Centro-Oeste;MS;2020-04-01;51;1;3;0
Centro-Oeste;MS;2020-04-02;53;1;2;0
Centro-Oeste;MS;2020-04-03;60;1;7;0
Centro-Oeste;MS;2020-04-04;62;1;2;0
Centro-Oeste;MS;2020-04-05;65;1;3;0
Centro-Oeste;MS;2020-04-06;66;1;1;0
Centro-Oeste;MS;2020-04-07;80;2;14;1
Centro-Oeste;MS;2020-04-08;85;2;5;0
Centro-Oeste;MS;2020-04-09;89;2;4;0
Centro-Oeste;MS;2020-04-10;97;2;8;0
Centro-Oeste;MS;2020-04-11;100;2;3;0
Centro-Oeste;MS;2020-04-12;101;2;1;0
Centro-Oeste;MS;2020-04-13;113;4;12;2
Centro-Oeste;MS;2020-04-14;115;4;2;0
Centro-Oeste;MS;2020-04-15;121;4;6;0
Centro-Oeste;MS;2020-04-16;131;5;10;1
Centro-Oeste;MS;2020-04-17;143;5;12;0
Centro-Oeste;MS;2020-04-18;161;5;18;0
Centro-Oeste;MS;2020-04-19;168;5;7;0
Centro-Oeste;MS;2020-04-20;171;5;3;0
Centro-Oeste;MS;2020-04-21;173;6;2;1
Centro-Oeste;MS;2020-04-22;175;6;2;0
Centro-Oeste;MS;2020-04-23;186;7;11;1
Centro-Oeste;MS;2020-04-24;213;7;27;0
Centro-Oeste;MS;2020-04-25;217;7;4;0
Centro-Oeste;MS;2020-04-26;234;7;17;0
Centro-Oeste;MS;2020-04-27;238;9;4;2
Centro-Oeste;MS;2020-04-28;240;9;2;0
Centro-Oeste;MS;2020-04-29;249;9;9;0
Centro-Oeste;MS;2020-04-30;255;9;6;0
Centro-Oeste;MS;2020-05-01;261;9;6;0
Centro-Oeste;MS;2020-05-02;266;9;5;0
Centro-Oeste;MS;2020-05-03;272;10;6;1
Centro-Oeste;MS;2020-05-04;274;10;2;0
Centro-Oeste;MS;2020-05-05;283;10;9;0
Centro-Oeste;MS;2020-05-06;288;10;5;0
Centro-Oeste;MS;2020-05-07;311;10;23;0
Centro-Oeste;MS;2020-05-08;326;11;15;1
Centro-Oeste;MS;2020-05-09;346;11;20;0
Centro-Oeste;MS;2020-05-10;362;11;16;0
Centro-Oeste;MS;2020-05-11;385;11;23;0
Centro-Oeste;MS;2020-05-12;405;12;20;1
Centro-Oeste;MS;2020-05-13;430;13;25;1
Centro-Oeste;MS;2020-05-14;452;14;22;1
Centro-Oeste;MS;2020-05-15;479;14;27;0
Centro-Oeste;MS;2020-05-16;508;15;29;1
Centro-Oeste;MS;2020-05-17;570;15;62;0
Centro-Oeste;MS;2020-05-18;613;16;43;1
Centro-Oeste;MS;2020-05-19;642;16;29;0
Centro-Oeste;MS;2020-05-20;693;17;51;1
Centro-Oeste;MS;2020-05-21;746;17;53;0
Centro-Oeste;MS;2020-05-22;805;17;59;0
Centro-Oeste;MS;2020-05-23;858;17;53;0
Centro-Oeste;MS;2020-05-24;924;17;66;0
Centro-Oeste;MS;2020-05-25;1023;17;99;0
Centro-Oeste;MS;2020-05-26;1100;17;77;0
Centro-Oeste;MS;2020-05-27;1186;18;86;1
Centro-Oeste;MS;2020-05-28;1262;18;76;0
Centro-Oeste;MS;2020-05-29;1356;18;94;0
Centro-Oeste;MS;2020-05-30;1418;19;62;1
Centro-Oeste;MS;2020-05-31;1489;20;71;1
Centro-Oeste;MS;2020-06-01;1568;20;79;0
