regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Norte;PA;2020-03-19;1;0;1;0
Norte;PA;2020-03-20;2;0;1;0
Norte;PA;2020-03-21;2;0;0;0
Norte;PA;2020-03-22;4;0;2;0
Norte;PA;2020-03-23;5;0;1;0
Norte;PA;2020-03-24;5;0;0;0
Norte;PA;2020-03-25;7;0;2;0
Norte;PA;2020-03-26;13;0;6;0
Norte;PA;2020-03-27;13;0;0;0
Norte;PA;2020-03-28;17;0;4;0
Norte;PA;2020-03-29;18;0;1;0
Norte;PA;2020-03-30;21;0;3;0
Norte;PA;2020-03-31;32;0;11;0
Norte;PA;2020-04-01;40;1;8;1
Norte;PA;2020-04-02;46;1;6;0
Norte;PA;2020-04-03;50;1;4;0
Norte;PA;2020-04-04;80;1;30;0
Norte;PA;2020-04-05;86;1;6;0
Norte;PA;2020-04-06;102;3;16;2
Norte;PA;2020-04-07;138;5;36;2
Norte;PA;2020-04-08;167;6;29;1
Norte;PA;2020-04-09;168;7;1;1
Norte;PA;2020-04-10;170;9;2;2
Norte;PA;2020-04-11;217;10;47;1
Norte;PA;2020-04-12;246;13;29;3
Norte;PA;2020-04-13;270;15;24;2
Norte;PA;2020-04-14;323;19;53;4
Norte;PA;2020-04-15;384;21;61;2
Norte;PA;2020-04-16;438;24;54;3
Norte;PA;2020-04-17;557;26;119;2
Norte;PA;2020-04-18;640;33;83;7
Norte;PA;2020-04-19;685;34;45;1
Norte;PA;2020-04-20;902;35;217;1
Norte;PA;2020-04-21;1026;38;124;3
Norte;PA;2020-04-22;1195;43;169;5
Norte;PA;2020-04-23;1267;53;72;10
Norte;PA;2020-04-24;1446;75;179;22
Norte;PA;2020-04-25;1579;86;133;11
Norte;PA;2020-04-26;1867;100;288;14
Norte;PA;2020-04-27;2128;114;261;14
Norte;PA;2020-04-28;2262;129;134;15
Norte;PA;2020-04-29;2422;137;160;8
Norte;PA;2020-04-30;2876;208;454;71
Norte;PA;2020-05-01;3176;235;300;27
Norte;PA;2020-05-02;3460;273;284;38
Norte;PA;2020-05-03;3863;309;403;36
Norte;PA;2020-05-04;4125;330;262;21
Norte;PA;2020-05-05;4472;369;347;39
Norte;PA;2020-05-06;5017;392;545;23
Norte;PA;2020-05-07;5524;410;507;18
Norte;PA;2020-05-08;6141;515;617;105
Norte;PA;2020-05-09;6775;578;634;63
Norte;PA;2020-05-10;7256;652;481;74
Norte;PA;2020-05-11;7563;708;307;56
Norte;PA;2020-05-12;8616;864;1053;156
Norte;PA;2020-05-13;9618;946;1002;82
Norte;PA;2020-05-14;10867;1063;1249;117
Norte;PA;2020-05-15;12109;1145;1242;82
Norte;PA;2020-05-16;13184;1199;1075;54
Norte;PA;2020-05-17;13864;1239;680;40
Norte;PA;2020-05-18;14734;1329;870;90
Norte;PA;2020-05-19;16295;1519;1561;190
Norte;PA;2020-05-20;18135;1633;1840;114
Norte;PA;2020-05-21;19756;1852;1621;219
Norte;PA;2020-05-22;21469;1937;1713;85
Norte;PA;2020-05-23;22697;2001;1228;64
Norte;PA;2020-05-24;24125;2148;1428;147
Norte;PA;2020-05-25;26077;2372;1952;224
Norte;PA;2020-05-26;28600;2469;2523;97
Norte;PA;2020-05-27;31033;2545;2433;76
Norte;PA;2020-05-28;33699;2704;2666;159
Norte;PA;2020-05-29;36486;2827;2787;123
Norte;PA;2020-05-30;37296;2900;810;73
Norte;PA;2020-05-31;37961;2923;665;23
Norte;PA;2020-06-01;38046;2925;85;2
