regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Nordeste;PB;2020-03-19;1;0;1;0
Nordeste;PB;2020-03-20;1;0;0;0
Nordeste;PB;2020-03-21;1;0;0;0
Nordeste;PB;2020-03-22;1;0;0;0
Nordeste;PB;2020-03-23;2;0;1;0
Nordeste;PB;2020-03-24;3;0;1;0
Nordeste;PB;2020-03-25;3;0;0;0
Nordeste;PB;2020-03-26;5;0;2;0
Nordeste;PB;2020-03-27;9;0;4;0
Nordeste;PB;2020-03-28;14;0;5;0
Nordeste;PB;2020-03-29;14;0;0;0
Nordeste;PB;2020-03-30;15;0;1;0
Nordeste;PB;2020-03-31;17;0;2;0
Nordeste;PB;2020-04-01;20;1;3;1
Nordeste;PB;2020-04-02;21;1;1;0
Nordeste;PB;2020-04-03;29;1;8;0
Nordeste;PB;2020-04-04;32;2;3;1
Nordeste;PB;2020-04-05;34;4;2;2
Nordeste;PB;2020-04-06;35;4;1;0
Nordeste;PB;2020-04-07;36;4;1;0
Nordeste;PB;2020-04-08;41;4;5;0
Nordeste;PB;2020-04-09;55;7;14;3
Nordeste;PB;2020-04-10;79;11;24;4
Nordeste;PB;2020-04-11;85;11;6;0
Nordeste;PB;2020-04-12;101;13;16;2
Nordeste;PB;2020-04-13;111;13;10;0
Nordeste;PB;2020-04-14;136;16;25;3
Nordeste;PB;2020-04-15;151;21;15;5
Nordeste;PB;2020-04-16;165;24;14;3
Nordeste;PB;2020-04-17;195;26;30;2
Nordeste;PB;2020-04-18;205;26;10;0
Nordeste;PB;2020-04-19;236;29;31;3
Nordeste;PB;2020-04-20;245;32;9;3
Nordeste;PB;2020-04-21;263;33;18;1
Nordeste;PB;2020-04-22;301;39;38;6
Nordeste;PB;2020-04-23;345;40;44;1
Nordeste;PB;2020-04-24;386;44;41;4
Nordeste;PB;2020-04-25;447;46;61;2
Nordeste;PB;2020-04-26;499;49;52;3
Nordeste;PB;2020-04-27;543;50;44;1
Nordeste;PB;2020-04-28;633;53;90;3
Nordeste;PB;2020-04-29;699;58;66;5
Nordeste;PB;2020-04-30;814;62;115;4
Nordeste;PB;2020-05-01;926;67;112;5
Nordeste;PB;2020-05-02;1034;74;108;7
Nordeste;PB;2020-05-03;1169;76;135;2
Nordeste;PB;2020-05-04;1219;79;50;3
Nordeste;PB;2020-05-05;1361;85;142;6
Nordeste;PB;2020-05-06;1493;92;132;7
Nordeste;PB;2020-05-07;1657;101;164;9
Nordeste;PB;2020-05-08;2031;114;374;13
Nordeste;PB;2020-05-09;2156;124;125;10
Nordeste;PB;2020-05-10;2341;135;185;11
Nordeste;PB;2020-05-11;2525;139;184;4
Nordeste;PB;2020-05-12;2777;154;252;15
Nordeste;PB;2020-05-13;3045;157;268;3
Nordeste;PB;2020-05-14;3361;160;316;3
Nordeste;PB;2020-05-15;3739;170;378;10
Nordeste;PB;2020-05-16;4063;183;324;13
Nordeste;PB;2020-05-17;4347;194;284;11
Nordeste;PB;2020-05-18;4786;207;439;13
Nordeste;PB;2020-05-19;5300;219;514;12
Nordeste;PB;2020-05-20;5838;230;538;11
Nordeste;PB;2020-05-21;6238;245;400;15
Nordeste;PB;2020-05-22;6882;248;644;3
Nordeste;PB;2020-05-23;7508;258;626;10
Nordeste;PB;2020-05-24;7823;272;315;14
Nordeste;PB;2020-05-25;8016;279;193;7
Nordeste;PB;2020-05-26;8919;286;903;7
Nordeste;PB;2020-05-27;10209;298;1290;12
Nordeste;PB;2020-05-28;11132;318;923;20
Nordeste;PB;2020-05-29;12011;327;879;9
Nordeste;PB;2020-05-30;12862;347;851;20
Nordeste;PB;2020-05-31;13162;360;300;13
Nordeste;PB;2020-06-01;13695;370;533;10
