regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Nordeste;PE;2020-03-12;2;0;2;0
Nordeste;PE;2020-03-13;2;0;0;0
Nordeste;PE;2020-03-14;2;0;0;0
Nordeste;PE;2020-03-15;2;0;0;0
Nordeste;PE;2020-03-16;2;0;0;0
Nordeste;PE;2020-03-17;16;0;14;0
Nordeste;PE;2020-03-18;16;0;0;0
Nordeste;PE;2020-03-19;28;0;12;0
Nordeste;PE;2020-03-20;30;0;2;0
Nordeste;PE;2020-03-21;30;0;0;0
Nordeste;PE;2020-03-22;37;0;7;0
Nordeste;PE;2020-03-23;42;0;5;0
Nordeste;PE;2020-03-24;42;0;0;0
Nordeste;PE;2020-03-25;46;1;4;1
Nordeste;PE;2020-03-26;48;3;2;2
Nordeste;PE;2020-03-27;56;4;8;1
Nordeste;PE;2020-03-28;68;5;12;1
Nordeste;PE;2020-03-29;73;5;5;0
Nordeste;PE;2020-03-30;78;6;5;1
Nordeste;PE;2020-03-31;87;6;9;0
Nordeste;PE;2020-04-01;95;8;8;2
Nordeste;PE;2020-04-02;106;9;11;1
Nordeste;PE;2020-04-03;136;10;30;1
Nordeste;PE;2020-04-04;176;14;40;4
Nordeste;PE;2020-04-05;201;21;25;7
Nordeste;PE;2020-04-06;223;30;22;9
Nordeste;PE;2020-04-07;352;34;129;4
Nordeste;PE;2020-04-08;401;46;49;12
Nordeste;PE;2020-04-09;555;56;154;10
Nordeste;PE;2020-04-10;684;65;129;9
Nordeste;PE;2020-04-11;816;72;132;7
Nordeste;PE;2020-04-12;960;85;144;13
Nordeste;PE;2020-04-13;1154;102;194;17
Nordeste;PE;2020-04-14;1284;115;130;13
Nordeste;PE;2020-04-15;1484;143;200;28
Nordeste;PE;2020-04-16;1683;160;199;17
Nordeste;PE;2020-04-17;2006;186;323;26
Nordeste;PE;2020-04-18;2193;205;187;19
Nordeste;PE;2020-04-19;2459;216;266;11
Nordeste;PE;2020-04-20;2690;234;231;18
Nordeste;PE;2020-04-21;2908;260;218;26
Nordeste;PE;2020-04-22;3298;282;390;22
Nordeste;PE;2020-04-23;3519;312;221;30
Nordeste;PE;2020-04-24;3999;352;480;40
Nordeste;PE;2020-04-25;4507;381;508;29
Nordeste;PE;2020-04-26;4898;415;391;34
Nordeste;PE;2020-04-27;5358;450;460;35
Nordeste;PE;2020-04-28;5724;508;366;58
Nordeste;PE;2020-04-29;6194;538;470;30
Nordeste;PE;2020-04-30;6876;565;682;27
Nordeste;PE;2020-05-01;7334;603;458;38
Nordeste;PE;2020-05-02;8145;628;811;25
Nordeste;PE;2020-05-03;8643;652;498;24
Nordeste;PE;2020-05-04;8863;691;220;39
Nordeste;PE;2020-05-05;9325;749;462;58
Nordeste;PE;2020-05-06;9881;803;556;54
Nordeste;PE;2020-05-07;10824;845;943;42
Nordeste;PE;2020-05-08;11587;927;763;82
Nordeste;PE;2020-05-09;12470;972;883;45
Nordeste;PE;2020-05-10;13275;1047;805;75
Nordeste;PE;2020-05-11;13768;1087;493;40
Nordeste;PE;2020-05-12;14309;1157;541;70
Nordeste;PE;2020-05-13;14901;1224;592;67
Nordeste;PE;2020-05-14;15588;1298;687;74
Nordeste;PE;2020-05-15;16209;1381;621;83
Nordeste;PE;2020-05-16;18488;1461;2279;80
Nordeste;PE;2020-05-17;19452;1516;964;55
Nordeste;PE;2020-05-18;20094;1640;642;124
Nordeste;PE;2020-05-19;21242;1741;1148;101
Nordeste;PE;2020-05-20;22560;1834;1318;93
Nordeste;PE;2020-05-21;23911;1925;1351;91
Nordeste;PE;2020-05-22;25760;2057;1849;132
Nordeste;PE;2020-05-23;26786;2144;1026;87
Nordeste;PE;2020-05-24;27759;2200;973;56
Nordeste;PE;2020-05-25;28366;2248;607;48
Nordeste;PE;2020-05-26;28854;2328;488;80
Nordeste;PE;2020-05-27;29919;2468;1065;140
Nordeste;PE;2020-05-28;30713;2566;794;98
Nordeste;PE;2020-05-29;32255;2669;1542;103
Nordeste;PE;2020-05-30;33427;2740;1172;71
Nordeste;PE;2020-05-31;34450;2807;1023;67
Nordeste;PE;2020-06-01;34900;2875;450;68
