regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Nordeste;PI;2020-03-20;3;0;3;0
Nordeste;PI;2020-03-21;4;0;1;0
Nordeste;PI;2020-03-22;4;0;0;0
Nordeste;PI;2020-03-23;6;0;2;0
Nordeste;PI;2020-03-24;6;0;0;0
Nordeste;PI;2020-03-25;8;0;2;0
Nordeste;PI;2020-03-26;9;0;1;0
Nordeste;PI;2020-03-27;9;0;0;0
Nordeste;PI;2020-03-28;11;1;2;1
Nordeste;PI;2020-03-29;14;1;3;0
Nordeste;PI;2020-03-30;16;3;2;2
Nordeste;PI;2020-03-31;18;4;2;1
Nordeste;PI;2020-04-01;18;4;0;0
Nordeste;PI;2020-04-02;19;4;1;0
Nordeste;PI;2020-04-03;21;4;2;0
Nordeste;PI;2020-04-04;22;4;1;0
Nordeste;PI;2020-04-05;23;4;1;0
Nordeste;PI;2020-04-06;23;4;0;0
Nordeste;PI;2020-04-07;28;4;5;0
Nordeste;PI;2020-04-08;31;5;3;1
Nordeste;PI;2020-04-09;38;6;7;1
Nordeste;PI;2020-04-10;40;7;2;1
Nordeste;PI;2020-04-11;41;7;1;0
Nordeste;PI;2020-04-12;44;7;3;0
Nordeste;PI;2020-04-13;50;8;6;1
Nordeste;PI;2020-04-14;58;8;8;0
Nordeste;PI;2020-04-15;75;8;17;0
Nordeste;PI;2020-04-16;91;8;16;0
Nordeste;PI;2020-04-17;102;8;11;0
Nordeste;PI;2020-04-18;123;9;21;1
Nordeste;PI;2020-04-19;145;10;22;1
Nordeste;PI;2020-04-20;158;12;13;2
Nordeste;PI;2020-04-21;186;14;28;2
Nordeste;PI;2020-04-22;206;15;20;1
Nordeste;PI;2020-04-23;217;15;11;0
Nordeste;PI;2020-04-24;256;16;39;1
Nordeste;PI;2020-04-25;297;17;41;1
Nordeste;PI;2020-04-26;331;18;34;1
Nordeste;PI;2020-04-27;364;20;33;2
Nordeste;PI;2020-04-28;408;21;44;1
Nordeste;PI;2020-04-29;454;24;46;3
Nordeste;PI;2020-04-30;513;24;59;0
Nordeste;PI;2020-05-01;600;24;87;0
Nordeste;PI;2020-05-02;665;26;65;2
Nordeste;PI;2020-05-03;742;28;77;2
Nordeste;PI;2020-05-04;784;28;42;0
Nordeste;PI;2020-05-05;875;29;91;1
Nordeste;PI;2020-05-06;949;30;74;1
Nordeste;PI;2020-05-07;1051;35;102;5
Nordeste;PI;2020-05-08;1131;37;80;2
Nordeste;PI;2020-05-09;1233;38;102;1
Nordeste;PI;2020-05-10;1278;42;45;4
Nordeste;PI;2020-05-11;1332;45;54;3
Nordeste;PI;2020-05-12;1443;49;111;4
Nordeste;PI;2020-05-13;1612;57;169;8
Nordeste;PI;2020-05-14;1784;60;172;3
Nordeste;PI;2020-05-15;1905;60;121;0
Nordeste;PI;2020-05-16;2085;65;180;5
Nordeste;PI;2020-05-17;2252;72;167;7
Nordeste;PI;2020-05-18;2287;80;35;8
Nordeste;PI;2020-05-19;2440;85;153;5
Nordeste;PI;2020-05-20;2637;87;197;2
Nordeste;PI;2020-05-21;2852;91;215;4
Nordeste;PI;2020-05-22;3074;93;222;2
Nordeste;PI;2020-05-23;3258;99;184;6
Nordeste;PI;2020-05-24;3390;107;132;8
Nordeste;PI;2020-05-25;3550;110;160;3
Nordeste;PI;2020-05-26;3720;119;170;9
Nordeste;PI;2020-05-27;3966;134;246;15
Nordeste;PI;2020-05-28;4243;138;277;4
Nordeste;PI;2020-05-29;4503;146;260;8
Nordeste;PI;2020-05-30;4745;157;242;11
Nordeste;PI;2020-05-31;4931;161;186;4
Nordeste;PI;2020-06-01;5119;168;188;7
