regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Sudeste;RJ;2020-03-05;1;0;1;0
Sudeste;RJ;2020-03-06;1;0;0;0
Sudeste;RJ;2020-03-07;2;0;1;0
Sudeste;RJ;2020-03-08;3;0;1;0
Sudeste;RJ;2020-03-09;3;0;0;0
Sudeste;RJ;2020-03-10;8;0;5;0
Sudeste;RJ;2020-03-11;13;0;5;0
Sudeste;RJ;2020-03-12;16;0;3;0
Sudeste;RJ;2020-03-13;16;0;0;0
Sudeste;RJ;2020-03-14;22;0;6;0
Sudeste;RJ;2020-03-15;24;0;2;0
Sudeste;RJ;2020-03-16;31;0;7;0
Sudeste;RJ;2020-03-17;33;0;2;0
Sudeste;RJ;2020-03-18;45;0;12;0
Sudeste;RJ;2020-03-19;65;2;20;2
Sudeste;RJ;2020-03-20;109;2;44;0
Sudeste;RJ;2020-03-21;119;3;10;1
Sudeste;RJ;2020-03-22;186;3;67;0
Sudeste;RJ;2020-03-23;233;4;47;1
Sudeste;RJ;2020-03-24;305;6;72;2
Sudeste;RJ;2020-03-25;370;6;65;0
Sudeste;RJ;2020-03-26;421;9;51;3
Sudeste;RJ;2020-03-27;493;10;72;1
Sudeste;RJ;2020-03-28;558;13;65;3
Sudeste;RJ;2020-03-29;600;17;42;4
Sudeste;RJ;2020-03-30;657;18;57;1
Sudeste;RJ;2020-03-31;708;23;51;5
Sudeste;RJ;2020-04-01;832;28;124;5
Sudeste;RJ;2020-04-02;992;41;160;13
Sudeste;RJ;2020-04-03;1074;47;82;6
Sudeste;RJ;2020-04-04;1246;58;172;11
Sudeste;RJ;2020-04-05;1394;64;148;6
Sudeste;RJ;2020-04-06;1461;71;67;7
Sudeste;RJ;2020-04-07;1688;89;227;18
Sudeste;RJ;2020-04-08;1938;106;250;17
Sudeste;RJ;2020-04-09;2216;122;278;16
Sudeste;RJ;2020-04-10;2464;147;248;25
Sudeste;RJ;2020-04-11;2607;155;143;8
Sudeste;RJ;2020-04-12;2855;170;248;15
Sudeste;RJ;2020-04-13;3231;188;376;18
Sudeste;RJ;2020-04-14;3410;224;179;36
Sudeste;RJ;2020-04-15;3743;265;333;41
Sudeste;RJ;2020-04-16;3944;300;201;35
Sudeste;RJ;2020-04-17;4349;341;405;41
Sudeste;RJ;2020-04-18;4543;387;194;46
Sudeste;RJ;2020-04-19;4765;402;222;15
Sudeste;RJ;2020-04-20;4899;422;134;20
Sudeste;RJ;2020-04-21;5306;461;407;39
Sudeste;RJ;2020-04-22;5552;490;246;29
Sudeste;RJ;2020-04-23;6172;530;620;40
Sudeste;RJ;2020-04-24;6282;570;110;40
Sudeste;RJ;2020-04-25;6828;615;546;45
Sudeste;RJ;2020-04-26;7111;645;283;30
Sudeste;RJ;2020-04-27;7944;677;833;32
Sudeste;RJ;2020-04-28;8504;738;560;61
Sudeste;RJ;2020-04-29;8869;794;365;56
Sudeste;RJ;2020-04-30;9453;854;584;60
Sudeste;RJ;2020-05-01;10166;921;713;67
Sudeste;RJ;2020-05-02;10546;971;380;50
Sudeste;RJ;2020-05-03;11139;1019;593;48
Sudeste;RJ;2020-05-04;11721;1065;582;46
Sudeste;RJ;2020-05-05;12391;1123;670;58
Sudeste;RJ;2020-05-06;13295;1205;904;82
Sudeste;RJ;2020-05-07;14156;1394;861;189
Sudeste;RJ;2020-05-08;15741;1503;1585;109
Sudeste;RJ;2020-05-09;16929;1653;1188;150
Sudeste;RJ;2020-05-10;17062;1714;133;61
Sudeste;RJ;2020-05-11;17939;1770;877;56
Sudeste;RJ;2020-05-12;18486;1928;547;158
Sudeste;RJ;2020-05-13;18728;2050;242;122
Sudeste;RJ;2020-05-14;19467;2247;739;197
Sudeste;RJ;2020-05-15;19987;2438;520;191
Sudeste;RJ;2020-05-16;21601;2614;1614;176
Sudeste;RJ;2020-05-17;22238;2715;637;101
Sudeste;RJ;2020-05-18;26665;2852;4427;137
Sudeste;RJ;2020-05-19;27805;3079;1140;227
Sudeste;RJ;2020-05-20;30372;3237;2567;158
Sudeste;RJ;2020-05-21;32089;3412;1717;175
Sudeste;RJ;2020-05-22;33589;3657;1500;245
Sudeste;RJ;2020-05-23;34533;3905;944;248
Sudeste;RJ;2020-05-24;37912;3993;3379;88
Sudeste;RJ;2020-05-25;39298;4105;1386;112
Sudeste;RJ;2020-05-26;40024;4361;726;256
Sudeste;RJ;2020-05-27;42398;4605;2374;244
Sudeste;RJ;2020-05-28;44886;4856;2488;251
Sudeste;RJ;2020-05-29;47953;5079;3067;223
Sudeste;RJ;2020-05-30;52420;5277;4467;198
Sudeste;RJ;2020-05-31;53388;5344;968;67
Sudeste;RJ;2020-06-01;54530;5462;1142;118
