regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Nordeste;RN;2020-03-13;1;0;1;0
Nordeste;RN;2020-03-14;1;0;0;0
Nordeste;RN;2020-03-15;1;0;0;0
Nordeste;RN;2020-03-16;1;0;0;0
Nordeste;RN;2020-03-17;1;0;0;0
Nordeste;RN;2020-03-18;1;0;0;0
Nordeste;RN;2020-03-19;1;0;0;0
Nordeste;RN;2020-03-20;1;0;0;0
Nordeste;RN;2020-03-21;6;0;5;0
Nordeste;RN;2020-03-22;9;0;3;0
Nordeste;RN;2020-03-23;13;0;4;0
Nordeste;RN;2020-03-24;13;0;0;0
Nordeste;RN;2020-03-25;14;0;1;0
Nordeste;RN;2020-03-26;19;0;5;0
Nordeste;RN;2020-03-27;28;0;9;0
Nordeste;RN;2020-03-28;45;0;17;0
Nordeste;RN;2020-03-29;68;1;23;1
Nordeste;RN;2020-03-30;77;1;9;0
Nordeste;RN;2020-03-31;82;1;5;0
Nordeste;RN;2020-04-01;92;2;10;1
Nordeste;RN;2020-04-02;105;2;13;0
Nordeste;RN;2020-04-03;176;4;71;2
Nordeste;RN;2020-04-04;212;5;36;1
Nordeste;RN;2020-04-05;242;7;30;2
Nordeste;RN;2020-04-06;246;7;4;0
Nordeste;RN;2020-04-07;254;8;8;1
Nordeste;RN;2020-04-08;261;11;7;3
Nordeste;RN;2020-04-09;261;11;0;0
Nordeste;RN;2020-04-10;263;11;2;0
Nordeste;RN;2020-04-11;289;13;26;2
Nordeste;RN;2020-04-12;302;15;13;2
Nordeste;RN;2020-04-13;339;17;37;2
Nordeste;RN;2020-04-14;376;18;37;1
Nordeste;RN;2020-04-15;399;19;23;1
Nordeste;RN;2020-04-16;400;20;1;1
Nordeste;RN;2020-04-17;463;23;63;3
Nordeste;RN;2020-04-18;516;24;53;1
Nordeste;RN;2020-04-19;531;25;15;1
Nordeste;RN;2020-04-20;595;27;64;2
Nordeste;RN;2020-04-21;608;28;13;1
Nordeste;RN;2020-04-22;646;29;38;1
Nordeste;RN;2020-04-23;708;34;62;5
Nordeste;RN;2020-04-24;754;38;46;4
Nordeste;RN;2020-04-25;781;40;27;2
Nordeste;RN;2020-04-26;825;44;44;4
Nordeste;RN;2020-04-27;832;45;7;1
Nordeste;RN;2020-04-28;857;48;25;3
Nordeste;RN;2020-04-29;1086;53;229;5
Nordeste;RN;2020-04-30;1177;56;91;3
Nordeste;RN;2020-05-01;1297;56;120;0
Nordeste;RN;2020-05-02;1366;59;69;3
Nordeste;RN;2020-05-03;1392;61;26;2
Nordeste;RN;2020-05-04;1421;62;29;1
Nordeste;RN;2020-05-05;1536;68;115;6
Nordeste;RN;2020-05-06;1574;72;38;4
Nordeste;RN;2020-05-07;1739;76;165;4
Nordeste;RN;2020-05-08;1821;81;82;5
Nordeste;RN;2020-05-09;1919;87;98;6
Nordeste;RN;2020-05-10;1928;88;9;1
Nordeste;RN;2020-05-11;1989;92;61;4
Nordeste;RN;2020-05-12;2033;93;44;1
Nordeste;RN;2020-05-13;2367;105;334;12
Nordeste;RN;2020-05-14;2537;117;170;12
Nordeste;RN;2020-05-15;2786;122;249;5
Nordeste;RN;2020-05-16;3004;136;218;14
Nordeste;RN;2020-05-17;3137;139;133;3
Nordeste;RN;2020-05-18;3184;146;47;7
Nordeste;RN;2020-05-19;3483;160;299;14
Nordeste;RN;2020-05-20;3796;170;313;10
Nordeste;RN;2020-05-21;4060;178;264;8
Nordeste;RN;2020-05-22;4251;181;191;3
Nordeste;RN;2020-05-23;4599;184;348;3
Nordeste;RN;2020-05-24;4697;200;98;16
Nordeste;RN;2020-05-25;4759;209;62;9
Nordeste;RN;2020-05-26;5472;220;713;11
Nordeste;RN;2020-05-27;5630;242;158;22
Nordeste;RN;2020-05-28;5630;254;0;12
Nordeste;RN;2020-05-29;6463;268;833;14
Nordeste;RN;2020-05-30;7402;305;939;37
Nordeste;RN;2020-05-31;7402;305;0;0
Nordeste;RN;2020-06-01;7964;323;562;18
