regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Norte;RO;2020-03-20;1;0;1;0
Norte;RO;2020-03-21;1;0;0;0
Norte;RO;2020-03-22;3;0;2;0
Norte;RO;2020-03-23;3;0;0;0
Norte;RO;2020-03-24;3;0;0;0
Norte;RO;2020-03-25;5;0;2;0
Norte;RO;2020-03-26;5;0;0;0
Norte;RO;2020-03-27;6;0;1;0
Norte;RO;2020-03-28;6;0;0;0
Norte;RO;2020-03-29;6;0;0;0
Norte;RO;2020-03-30;6;0;0;0
Norte;RO;2020-03-31;8;1;2;1
Norte;RO;2020-04-01;9;1;1;0
Norte;RO;2020-04-02;10;1;1;0
Norte;RO;2020-04-03;10;1;0;0
Norte;RO;2020-04-04;11;1;1;0
Norte;RO;2020-04-05;12;1;1;0
Norte;RO;2020-04-06;14;1;2;0
Norte;RO;2020-04-07;18;1;4;0
Norte;RO;2020-04-08;18;1;0;0
Norte;RO;2020-04-09;28;2;10;1
Norte;RO;2020-04-10;32;2;4;0
Norte;RO;2020-04-11;33;2;1;0
Norte;RO;2020-04-12;35;2;2;0
Norte;RO;2020-04-13;42;2;7;0
Norte;RO;2020-04-14;64;2;22;0
Norte;RO;2020-04-15;69;2;5;0
Norte;RO;2020-04-16;76;3;7;1
Norte;RO;2020-04-17;92;3;16;0
Norte;RO;2020-04-18;110;3;18;0
Norte;RO;2020-04-19;128;4;18;1
Norte;RO;2020-04-20;160;4;32;0
Norte;RO;2020-04-21;199;4;39;0
Norte;RO;2020-04-22;223;5;24;1
Norte;RO;2020-04-23;250;5;27;0
Norte;RO;2020-04-24;290;5;40;0
Norte;RO;2020-04-25;328;7;38;2
Norte;RO;2020-04-26;364;10;36;3
Norte;RO;2020-04-27;393;10;29;0
Norte;RO;2020-04-28;413;11;20;1
Norte;RO;2020-04-29;433;15;20;4
Norte;RO;2020-04-30;502;16;69;1
Norte;RO;2020-05-01;585;18;83;2
Norte;RO;2020-05-02;653;23;68;5
Norte;RO;2020-05-03;705;24;52;1
Norte;RO;2020-05-04;756;25;51;1
Norte;RO;2020-05-05;861;29;105;4
Norte;RO;2020-05-06;943;33;82;4
Norte;RO;2020-05-07;1098;37;155;4
Norte;RO;2020-05-08;1222;39;124;2
Norte;RO;2020-05-09;1263;41;41;2
Norte;RO;2020-05-10;1302;43;39;2
Norte;RO;2020-05-11;1396;47;94;4
Norte;RO;2020-05-12;1460;50;64;3
Norte;RO;2020-05-13;1612;50;152;0
Norte;RO;2020-05-14;1686;56;74;6
Norte;RO;2020-05-15;1789;62;103;6
Norte;RO;2020-05-16;1919;69;130;7
Norte;RO;2020-05-17;1963;74;44;5
Norte;RO;2020-05-18;2043;77;80;3
Norte;RO;2020-05-19;2257;87;214;10
Norte;RO;2020-05-20;2499;90;242;3
Norte;RO;2020-05-21;2659;101;160;11
Norte;RO;2020-05-22;2774;106;115;5
Norte;RO;2020-05-23;3109;115;335;9
Norte;RO;2020-05-24;3201;121;92;6
Norte;RO;2020-05-25;3268;121;67;0
Norte;RO;2020-05-26;3493;133;225;12
Norte;RO;2020-05-27;3862;137;369;4
Norte;RO;2020-05-28;4252;142;390;5
Norte;RO;2020-05-29;4502;145;250;3
Norte;RO;2020-05-30;4743;151;241;6
Norte;RO;2020-05-31;4942;156;199;5
Norte;RO;2020-06-01;5172;159;230;3
