regiao;estado;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Sul;RS;2020-03-10;1;0;1;0
Sul;RS;2020-03-11;2;0;1;0
Sul;RS;2020-03-12;4;0;2;0
Sul;RS;2020-03-13;4;0;0;0
Sul;RS;2020-03-14;6;0;2;0
Sul;RS;2020-03-15;6;0;0;0
Sul;RS;2020-03-16;6;0;0;0
Sul;RS;2020-03-17;10;0;4;0
Sul;RS;2020-03-18;19;0;9;0
Sul;RS;2020-03-19;28;0;9;0
Sul;RS;2020-03-20;37;0;9;0
Sul;RS;2020-03-21;60;0;23;0
Sul;RS;2020-03-22;72;0;12;0
Sul;RS;2020-03-23;86;0;14;0
Sul;RS;2020-03-24;98;0;12;0
Sul;RS;2020-03-25;123;1;25;1
Sul;RS;2020-03-26;168;1;45;0
Sul;RS;2020-03-27;195;2;27;1
Sul;RS;2020-03-28;197;2;2;0
Sul;RS;2020-03-29;226;2;29;0
Sul;RS;2020-03-30;241;3;15;1
Sul;RS;2020-03-31;274;4;33;1
Sul;RS;2020-04-01;306;4;32;0
Sul;RS;2020-04-02;334;5;28;1
Sul;RS;2020-04-03;396;5;62;0
Sul;RS;2020-04-04;410;6;14;1
Sul;RS;2020-04-05;418;7;8;1
Sul;RS;2020-04-06;481;7;63;0
Sul;RS;2020-04-07;508;8;27;1
Sul;RS;2020-04-08;555;9;47;1
Sul;RS;2020-04-09;618;12;63;3
Sul;RS;2020-04-10;636;14;18;2
Sul;RS;2020-04-11;640;15;4;1
Sul;RS;2020-04-12;653;16;13;1
Sul;RS;2020-04-13;664;16;11;0
Sul;RS;2020-04-14;700;18;36;2
Sul;RS;2020-04-15;747;19;47;1
Sul;RS;2020-04-16;780;19;33;0
Sul;RS;2020-04-17;802;22;22;3
Sul;RS;2020-04-18;831;24;29;2
Sul;RS;2020-04-19;854;24;23;0
Sul;RS;2020-04-20;889;27;35;3
Sul;RS;2020-04-21;904;27;15;0
Sul;RS;2020-04-22;923;27;19;0
Sul;RS;2020-04-23;994;29;71;2
Sul;RS;2020-04-24;1061;31;67;2
Sul;RS;2020-04-25;1096;34;35;3
Sul;RS;2020-04-26;1166;35;70;1
Sul;RS;2020-04-27;1228;42;62;7
Sul;RS;2020-04-28;1286;45;58;3
Sul;RS;2020-04-29;1368;50;82;5
Sul;RS;2020-04-30;1466;51;98;1
Sul;RS;2020-05-01;1529;58;63;7
Sul;RS;2020-05-02;1619;62;90;4
Sul;RS;2020-05-03;1666;65;47;3
Sul;RS;2020-05-04;1711;74;45;9
Sul;RS;2020-05-05;1815;79;104;5
Sul;RS;2020-05-06;2050;87;235;8
Sul;RS;2020-05-07;2129;90;79;3
Sul;RS;2020-05-08;2447;91;318;1
Sul;RS;2020-05-09;2493;95;46;4
Sul;RS;2020-05-10;2542;97;49;2
Sul;RS;2020-05-11;2576;105;34;8
Sul;RS;2020-05-12;2917;111;341;6
Sul;RS;2020-05-13;2917;111;0;0
Sul;RS;2020-05-14;2997;120;80;9
Sul;RS;2020-05-15;3597;126;600;6
Sul;RS;2020-05-16;3695;132;98;6
Sul;RS;2020-05-17;3735;142;40;10
Sul;RS;2020-05-18;3735;144;0;2
Sul;RS;2020-05-19;3750;151;15;7
Sul;RS;2020-05-20;4973;161;1223;10
Sul;RS;2020-05-21;5473;166;500;5
Sul;RS;2020-05-22;5918;172;445;6
Sul;RS;2020-05-23;6336;176;418;4
Sul;RS;2020-05-24;6470;180;134;4
Sul;RS;2020-05-25;6559;197;89;17
Sul;RS;2020-05-26;6785;203;226;6
Sul;RS;2020-05-27;7048;209;263;6
Sul;RS;2020-05-28;8234;213;1186;4
Sul;RS;2020-05-29;8234;213;0;0
Sul;RS;2020-05-30;9242;218;1008;5
Sul;RS;2020-05-31;9332;224;90;6
Sul;RS;2020-06-01;9332;232;0;8
