regiao;estado;municipio;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Nordeste;PE;Recife;2020-03-28;46;4;46;4
Nordeste;PE;Recife;2020-03-29;50;4;4;0
Nordeste;PE;Recife;2020-03-30;53;4;3;0
Nordeste;PE;Recife;2020-03-31;1;4;-52;0
Nordeste;PE;Recife;2020-04-01;64;5;63;1
Nordeste;PE;Recife;2020-04-02;74;6;10;1
Nordeste;PE;Recife;2020-04-03;92;6;18;0
Nordeste;PE;Recife;2020-04-04;119;10;27;4
Nordeste;PE;Recife;2020-04-05;139;14;20;4
Nordeste;PE;Recife;2020-04-06;146;16;7;2
Nordeste;PE;Recife;2020-04-07;221;18;75;2
Nordeste;PE;Recife;2020-04-08;254;22;33;4
Nordeste;PE;Recife;2020-04-09;340;27;86;5
Nordeste;PE;Recife;2020-04-10;413;32;73;5
Nordeste;PE;Recife;2020-04-11;486;34;73;2
Nordeste;PE;Recife;2020-04-12;557;37;71;3
Nordeste;PE;Recife;2020-04-13;672;46;115;9
Nordeste;PE;Recife;2020-04-14;733;49;61;3
Nordeste;PE;Recife;2020-04-15;857;62;124;13
Nordeste;PE;Recife;2020-04-16;958;70;101;8
Nordeste;PE;Recife;2020-04-17;1136;85;178;15
Nordeste;PE;Recife;2020-04-18;1255;94;119;9
Nordeste;PE;Recife;2020-04-19;1399;100;144;6
Nordeste;PE;Recife;2020-04-20;1552;106;153;6
Nordeste;PE;Recife;2020-04-21;1687;113;135;7
Nordeste;PE;Recife;2020-04-22;1904;124;217;11
Nordeste;PE;Recife;2020-04-23;2062;136;158;12
Nordeste;PE;Recife;2020-04-24;2266;151;204;15
Nordeste;PE;Recife;2020-04-25;2534;162;268;11
Nordeste;PE;Recife;2020-04-26;2722;182;188;20
Nordeste;PE;Recife;2020-04-27;2973;197;251;15
Nordeste;PE;Recife;2020-04-28;3158;219;185;22
Nordeste;PE;Recife;2020-04-29;3425;238;267;19
Nordeste;PE;Recife;2020-04-30;3780;250;355;12
Nordeste;PE;Recife;2020-05-01;4020;257;240;7
Nordeste;PE;Recife;2020-05-02;4453;267;433;10
Nordeste;PE;Recife;2020-05-03;4702;273;249;6
Nordeste;PE;Recife;2020-05-04;4807;295;105;22
Nordeste;PE;Recife;2020-05-05;4989;320;182;25
Nordeste;PE;Recife;2020-05-06;5294;337;305;17
Nordeste;PE;Recife;2020-05-07;5775;354;481;17
Nordeste;PE;Recife;2020-05-08;6133;380;358;26
Nordeste;PE;Recife;2020-05-09;6588;393;455;13
Nordeste;PE;Recife;2020-05-10;6984;415;396;22
Nordeste;PE;Recife;2020-05-11;7224;425;240;10
Nordeste;PE;Recife;2020-05-12;7477;450;253;25
Nordeste;PE;Recife;2020-05-13;7757;479;280;29
Nordeste;PE;Recife;2020-05-14;8096;507;339;28
Nordeste;PE;Recife;2020-05-15;8352;538;256;31
Nordeste;PE;Recife;2020-05-16;9413;573;1061;35
Nordeste;PE;Recife;2020-05-17;9772;596;359;23
Nordeste;PE;Recife;2020-05-18;10047;645;275;49
Nordeste;PE;Recife;2020-05-19;10561;682;514;37
Nordeste;PE;Recife;2020-05-20;11054;715;493;33
Nordeste;PE;Recife;2020-05-21;11584;747;530;32
Nordeste;PE;Recife;2020-05-22;12523;803;939;56
Nordeste;PE;Recife;2020-05-23;12924;835;401;32
Nordeste;PE;Recife;2020-05-24;13297;851;373;16
Nordeste;PE;Recife;2020-05-25;13549;865;252;14
Nordeste;PE;Recife;2020-05-26;13712;902;163;37
Nordeste;PE;Recife;2020-05-27;14086;967;374;65
Nordeste;PE;Recife;2020-05-28;14365;1004;279;37
Nordeste;PE;Recife;2020-05-29;14832;1040;467;36
Nordeste;PE;Recife;2020-05-30;15165;1064;333;24
Nordeste;PE;Recife;2020-05-31;15474;1081;309;17
Nordeste;PE;Recife;2020-06-01;15565;1097;91;16
