regiao;estado;municipio;DateRep;cum-Cases;cum-Deaths;Cases;Deaths
Nordeste;PE;Vitória de Santo Antão;2020-04-07;3;0;3;0
Nordeste;PE;Vitória de Santo Antão;2020-04-08;3;0;0;0
Nordeste;PE;Vitória de Santo Antão;2020-04-09;3;0;0;0
Nordeste;PE;Vitória de Santo Antão;2020-04-10;3;0;0;0
Nordeste;PE;Vitória de Santo Antão;2020-04-11;4;0;1;0
Nordeste;PE;Vitória de Santo Antão;2020-04-12;5;1;1;1
Nordeste;PE;Vitória de Santo Antão;2020-04-13;6;1;1;0
Nordeste;PE;Vitória de Santo Antão;2020-04-14;7;1;1;0
Nordeste;PE;Vitória de Santo Antão;2020-04-15;10;1;3;0
Nordeste;PE;Vitória de Santo Antão;2020-04-16;11;2;1;1
Nordeste;PE;Vitória de Santo Antão;2020-04-17;15;5;4;3
Nordeste;PE;Vitória de Santo Antão;2020-04-18;20;5;5;0
Nordeste;PE;Vitória de Santo Antão;2020-04-19;22;5;2;0
Nordeste;PE;Vitória de Santo Antão;2020-04-20;25;5;3;0
Nordeste;PE;Vitória de Santo Antão;2020-04-21;26;6;1;1
Nordeste;PE;Vitória de Santo Antão;2020-04-22;30;7;4;1
Nordeste;PE;Vitória de Santo Antão;2020-04-23;36;8;6;1
Nordeste;PE;Vitória de Santo Antão;2020-04-24;44;10;8;2
Nordeste;PE;Vitória de Santo Antão;2020-04-25;55;10;11;0
Nordeste;PE;Vitória de Santo Antão;2020-04-26;63;10;8;0
Nordeste;PE;Vitória de Santo Antão;2020-04-27;66;11;3;1
Nordeste;PE;Vitória de Santo Antão;2020-04-28;70;12;4;1
Nordeste;PE;Vitória de Santo Antão;2020-04-29;78;12;8;0
Nordeste;PE;Vitória de Santo Antão;2020-04-30;92;13;14;1
Nordeste;PE;Vitória de Santo Antão;2020-05-01;97;14;5;1
Nordeste;PE;Vitória de Santo Antão;2020-05-02;98;14;1;0
Nordeste;PE;Vitória de Santo Antão;2020-05-03;104;14;6;0
Nordeste;PE;Vitória de Santo Antão;2020-05-04;105;15;1;1
Nordeste;PE;Vitória de Santo Antão;2020-05-05;125;18;20;3
Nordeste;PE;Vitória de Santo Antão;2020-05-06;135;19;10;1
Nordeste;PE;Vitória de Santo Antão;2020-05-07;136;19;1;0
Nordeste;PE;Vitória de Santo Antão;2020-05-08;145;22;9;3
Nordeste;PE;Vitória de Santo Antão;2020-05-09;159;25;14;3
Nordeste;PE;Vitória de Santo Antão;2020-05-10;167;27;8;2
Nordeste;PE;Vitória de Santo Antão;2020-05-11;173;27;6;0
Nordeste;PE;Vitória de Santo Antão;2020-05-12;179;28;6;1
Nordeste;PE;Vitória de Santo Antão;2020-05-13;190;28;11;0
Nordeste;PE;Vitória de Santo Antão;2020-05-14;205;33;15;5
Nordeste;PE;Vitória de Santo Antão;2020-05-15;226;34;21;1
Nordeste;PE;Vitória de Santo Antão;2020-05-16;279;38;53;4
Nordeste;PE;Vitória de Santo Antão;2020-05-17;318;38;39;0
Nordeste;PE;Vitória de Santo Antão;2020-05-18;326;41;8;3
Nordeste;PE;Vitória de Santo Antão;2020-05-19;344;42;18;1
Nordeste;PE;Vitória de Santo Antão;2020-05-20;385;42;41;0
Nordeste;PE;Vitória de Santo Antão;2020-05-21;394;47;9;5
Nordeste;PE;Vitória de Santo Antão;2020-05-22;427;48;33;1
Nordeste;PE;Vitória de Santo Antão;2020-05-23;442;51;15;3
Nordeste;PE;Vitória de Santo Antão;2020-05-24;454;51;12;0
Nordeste;PE;Vitória de Santo Antão;2020-05-25;463;55;9;4
Nordeste;PE;Vitória de Santo Antão;2020-05-26;478;57;15;2
Nordeste;PE;Vitória de Santo Antão;2020-05-27;496;58;18;1
Nordeste;PE;Vitória de Santo Antão;2020-05-28;507;60;11;2
Nordeste;PE;Vitória de Santo Antão;2020-05-29;520;62;13;2
Nordeste;PE;Vitória de Santo Antão;2020-05-30;546;64;26;2
Nordeste;PE;Vitória de Santo Antão;2020-05-31;559;65;13;1
Nordeste;PE;Vitória de Santo Antão;2020-06-01;563;67;4;2
