DateRep;Cases;cum-Cases;Deaths;cum-Deaths
2020-04-11;1.0;1.0;0.0;0.0
2020-04-12;0.0;1.0;0.0;0.0
2020-04-13;0.0;1.0;0.0;0.0
2020-04-14;0.0;1.0;0.0;0.0
2020-04-15;1.0;2.0;0.0;0.0
2020-04-16;0.0;2.0;0.0;0.0
2020-04-17;0.0;2.0;0.0;0.0
2020-04-18;1.0;3.0;0.0;0.0
2020-04-19;0.0;3.0;1.0;1.0
2020-04-20;1.0;4.0;0.0;1.0
2020-04-21;1.0;5.0;0.0;1.0
2020-04-22;0.0;5.0;0.0;1.0
2020-04-23;0.0;5.0;0.0;1.0
2020-04-24;1.0;6.0;0.0;1.0
2020-04-25;0.0;6.0;0.0;1.0
2020-04-26;0.0;6.0;0.0;1.0
2020-04-27;1.0;7.0;0.0;1.0
