;Estado;cases_7d
0;AC;7938.6713759559825
1;AL;13569.564771782892
2;AM;41929.179905181336
3;AP;10714.782872791844
4;BA;25782.54538778353
5;Brazil;666579.4827196851
6;CE;58159.90624981957
7;DF;14333.775106429755
8;ES;18637.19707302677
9;GO;4255.449983679815
10;MA;39832.34968191377
11;MG;3055623.1677713417
12;MS;1218.3247035308216
13;MT;3247.720473501513
14;PA;55013.53416611452
15;PB;16146.708030913513
16;PE;43207.29409383563
17;PI;6498.202322289884
18;PR;4133.610023455673
19;RJ;72228.26971198138
20;RN;9250.278601210031
21;RO;6529.5728979458
22;RR;4356.204693051517
23;RS;10356.27490709477
24;SC;9495.590065420838
25;SE;11087.981509308309
26;SP;218476.46164907247
27;TO;5673.183683047044
