;Estado;deaths_7d
0;AC;195.35542368096813
1;AL;662.2669513553669
2;AM;2553.845150381649
3;AP;276.1976811027237
4;BA;897.6336824917745
5;Brazil;41456.1165116425
6;CE;3344.5213568800714
7;DF;240.2137644032796
8;ES;799.1869538332137
9;Glória do Goitá;15.465857970046716
10;GO;161.6245938516049
11;MA;1393.4778176478924
12;MG;152781.10838232626
13;MS;23.903634154330835
14;MT;90.08897078513463
15;PA;4574.786944964711
16;PB;533.7046542319032
17;PE;3514.1002490490255
18;PI;213.23339307347425
19;PR;203.1663161582753
20;Recife;1197.6393638600694
21;RJ;7222.726971198141
22;RN;395.98966203994087
23;RO;224.09488169506062
24;RR;138.87352642163438
25;RS;303.6040664327013
26;SC;166.67384790734988
27;SE;222.53944606964345
28;SP;10854.116808266546
29;TO;112.6084109084774
30;Vitória de Santo Antão;76.11430990746561
