;Estado;max_cases;diamax;datamax
0;AC;729.984856753148;165;2020-08-31
1;AL;319.7629368471753;180;2020-09-04
2;AM;35757.32108948787;149;2020-08-11
3;AP;1465.5813816754599;149;2020-08-16
4;BA;91525.75285879313;179;2020-09-01
5;Brazil;1671541.8684155978;164;2020-08-08
6;CE;47664.64987070765;149;2020-08-13
7;DF;12222.278386876424;157;2020-08-11
8;ES;11209.95493032859;166;2020-08-19
9;GO;6918.516392860722;175;2020-09-04
10;MA;50781.366234927205;153;2020-08-21
11;MG;116877.24424656993;172;2020-08-27
12;MS;4787.951074253157;173;2020-09-05
13;MT;5986.779843444267;155;2020-08-22
14;PA;29386.85239556973;146;2020-08-12
15;PB;21994.720896681596;163;2020-08-29
16;PE;33369.641077548265;148;2020-08-07
17;PI;1579.115304984076;147;2020-08-14
18;PR;11154.59115508318;156;2020-08-15
19;RJ;89170.28349998011;164;2020-08-16
20;RN;8694.508238721304;180;2020-09-09
21;RO;9833.40722043559;168;2020-09-04
22;RR;193.23844415220174;150;2020-08-19
23;RS;54253.40374224563;173;2020-08-30
24;SC;13708.84843933725;151;2020-08-11
25;SE;695.2328371422482;144;2020-08-06
26;SP;118253.24217405426;159;2020-08-03
27;TO;602.6282711874355;148;2020-08-14
